date,how to delete a youtube account,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,youtube private channel
2011-01-01,37,10,1,0,0,0,0,256,18,21
2011-02-01,33,5,1,0,0,0,0,211,20,17
2011-03-01,42,4,1,0,0,0,0,176,15,13
2011-04-01,32,7,1,0,0,0,0,183,14,20
2011-05-01,39,7,2,0,0,0,0,180,13,16
2011-06-01,48,8,1,0,0,0,0,211,20,21
2011-07-01,71,7,1,0,0,0,0,225,15,21
2011-08-01,59,4,1,0,0,0,4,276,19,25
2011-09-01,65,7,1,0,0,0,4,249,11,29
2011-10-01,53,6,1,0,0,0,0,287,21,25
2011-11-01,67,7,3,0,0,0,0,345,23,27
2011-12-01,71,6,1,0,0,0,4,290,15,37
2012-01-01,63,8,2,0,0,0,4,318,18,33
2012-02-01,63,9,3,0,0,0,4,325,15,31
2012-03-01,55,11,1,0,0,4,0,314,17,36
2012-04-01,70,8,1,0,0,0,0,228,17,29
2012-05-01,67,9,1,1,0,0,0,218,13,31
2012-06-01,76,8,1,1,0,0,4,228,20,30
2012-07-01,87,10,1,1,0,0,4,314,20,30
2012-08-01,97,6,1,2,0,0,0,300,20,35
2012-09-01,70,9,1,3,0,0,4,235,20,36
2012-10-01,50,12,2,5,0,0,0,211,21,30
2012-11-01,72,9,1,19,0,0,0,259,17,31
2012-12-01,81,10,2,20,0,0,4,280,23,34
2013-01-01,83,10,1,19,0,0,11,242,24,40
2013-02-01,96,11,1,12,0,0,7,232,16,38
2013-03-01,78,11,1,16,0,0,11,238,21,39
2013-04-01,73,11,1,20,0,0,21,225,19,37
2013-05-01,75,8,1,21,0,4,14,183,25,32
2013-06-01,82,13,2,26,0,4,7,207,25,33
2013-07-01,86,11,2,36,0,4,11,235,27,40
2013-08-01,100,13,1,30,0,4,25,228,30,49
2013-09-01,77,14,1,26,0,0,18,173,28,40
2013-10-01,66,9,1,26,3,0,7,176,24,35
2013-11-01,65,12,2,27,5,4,11,187,29,32
2013-12-01,74,11,1,40,6,4,18,238,29,42
2014-01-01,77,12,1,60,5,0,28,207,35,37
2014-02-01,65,12,2,35,4,4,18,169,31,39
2014-03-01,68,11,1,45,3,4,14,159,32,37
2014-04-01,60,12,1,38,7,4,18,197,27,35
2014-05-01,57,10,1,60,6,4,21,211,25,30
2014-06-01,67,10,1,53,5,4,28,200,29,29
2014-07-01,80,13,2,46,7,0,35,183,30,32
2014-08-01,78,11,3,37,4,4,25,204,31,32
2014-09-01,56,14,2,40,6,4,14,190,38,29
2014-10-01,53,15,2,52,5,4,14,173,31,29
2014-11-01,49,14,1,48,6,0,21,176,29,33
2014-12-01,60,14,1,60,5,4,21,194,29,34
2015-01-01,61,12,1,79,5,4,25,197,30,31
2015-02-01,46,14,1,55,6,4,14,187,30,34
2015-03-01,59,16,2,58,8,0,14,200,30,36
2015-04-01,61,14,1,49,8,4,18,221,25,32
2015-05-01,56,13,1,43,7,4,25,176,27,37
2015-06-01,59,15,1,49,5,0,28,173,26,30
2015-07-01,54,14,1,65,14,4,18,218,30,31
2015-08-01,56,14,1,63,8,0,14,238,35,34
2015-09-01,47,16,1,48,7,0,18,197,32,27
2015-10-01,42,13,1,47,7,4,18,152,27,29
2015-11-01,40,15,1,40,5,0,14,152,28,30
2015-12-01,53,16,1,54,6,0,11,166,27,31
2016-01-01,58,15,1,58,8,0,18,207,29,36
2016-02-01,49,17,1,52,5,0,21,207,26,25
2016-03-01,45,14,1,55,9,4,18,166,23,34
2016-04-01,43,17,1,62,11,0,11,169,25,31
2016-05-01,47,16,1,69,10,0,7,180,25,30
2016-06-01,45,14,1,73,8,4,18,249,29,29
2016-07-01,61,15,1,76,11,4,25,232,30,29
2016-08-01,49,18,1,63,11,4,14,180,30,31
2016-09-01,43,14,1,60,9,0,14,200,31,25
2016-10-01,41,14,1,56,11,0,14,194,28,31
2016-11-01,38,17,1,59,9,0,18,221,29,29
2016-12-01,49,15,1,65,10,0,21,197,29,30
2017-01-01,48,17,1,72,13,0,18,221,27,38
