date,how to unfriend someone on snapchat,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2011-01-01,0,40,0,84,0
2011-02-01,0,52,0,63,21
2011-03-01,0,47,0,98,19
2011-04-01,0,80,0,61,0
2011-05-01,0,84,0,75,0
2011-06-01,0,52,0,128,0
2011-07-01,0,63,0,121,0
2011-08-01,0,54,0,96,0
2011-09-01,0,59,17,133,0
2011-10-01,0,40,17,82,0
2011-11-01,0,33,17,45,0
2011-12-01,0,28,17,124,0
2012-01-01,0,70,14,121,0
2012-02-01,0,52,14,187,0
2012-03-01,0,35,14,128,0
2012-04-01,0,31,14,145,0
2012-05-01,0,38,14,105,0
2012-06-01,0,56,14,105,14
2012-07-01,0,31,14,177,12
2012-08-01,0,49,14,140,12
2012-09-01,0,33,14,110,12
2012-10-01,0,49,14,152,12
2012-11-01,13,54,14,124,12
2012-12-01,27,54,14,149,14
2013-01-01,20,52,42,124,24
2013-02-01,13,54,14,119,19
2013-03-01,12,63,24,96,19
2013-04-01,16,89,12,180,24
2013-05-01,55,63,12,140,54
2013-06-01,84,61,19,140,100
2013-07-01,28,80,31,177,114
2013-08-01,16,80,12,163,100
2013-09-01,12,47,12,126,73
2013-10-01,15,70,12,110,124
2013-11-01,19,63,17,107,91
2013-12-01,30,87,12,119,103
2014-01-01,16,56,10,152,103
2014-02-01,19,75,19,121,117
2014-03-01,31,52,28,147,91
2014-04-01,21,56,17,152,94
2014-05-01,43,70,12,128,84
2014-06-01,12,59,17,182,91
2014-07-01,15,49,31,233,107
2014-08-01,12,84,24,173,100
2014-09-01,15,84,31,128,161
2014-10-01,28,66,24,149,142
2014-11-01,39,114,40,154,117
2014-12-01,18,75,33,161,105
2015-01-01,33,94,31,214,112
2015-02-01,54,61,40,100,107
2015-03-01,26,73,31,117,100
2015-04-01,63,70,14,142,126
2015-05-01,55,68,19,100,107
2015-06-01,60,87,40,152,131
2015-07-01,49,75,31,154,124
2015-08-01,26,124,40,207,121
2015-09-01,63,52,38,182,117
2015-10-01,60,87,38,156,66
2015-11-01,25,114,31,80,98
2015-12-01,44,84,38,105,117
2016-01-01,62,82,45,142,119
2016-02-01,53,73,24,138,73
2016-03-01,58,94,17,128,49
2016-04-01,40,80,12,107,68
2016-05-01,63,94,45,80,54
2016-06-01,77,98,47,107,40
2016-07-01,100,94,12,170,63
2016-08-01,90,82,47,128,59
2016-09-01,61,82,31,124,42
2016-10-01,40,61,26,140,26
2016-11-01,70,68,49,154,47
2016-12-01,56,89,24,147,61
2017-01-01,60,103,35,110,52
