date,how to delete snapchat,search without history,how to delete a snapchat account,who can see my snapchat story,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,youtube private channel,delete account instagram,how to delete facebook,how to unfollow someone on instagram,how to delete gmail,how to unfollow someone on snapchat,how to change facebook privacy settings,how to delete youtube,how to delete a twitter account,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to uninstall snapchat,how to unfriend someone on facebook,private twitter account,how to delete twitter,how to browse anonymously,delete hangout history
2011-01-01,0,0,0,0,2,0,16,1,2,0,218,0,30,0,1,24,1,0,0,3,3,0,0,1,1,9,0,0
2011-02-01,0,0,0,0,2,0,13,1,2,0,204,0,31,0,1,24,1,0,0,3,2,0,0,1,0,10,0,0
2011-03-01,0,0,0,0,3,0,11,1,2,0,193,0,31,0,1,27,2,0,0,3,3,0,0,2,1,11,0,0
2011-04-01,0,0,0,0,2,0,11,1,2,0,208,0,33,0,0,26,1,0,0,2,3,0,0,2,1,13,0,0
2011-05-01,0,0,0,0,2,0,13,1,2,0,215,0,32,0,0,26,1,0,0,2,3,0,0,1,1,14,0,0
2011-06-01,0,0,0,0,3,0,13,1,2,0,236,0,37,0,1,35,2,0,0,3,4,0,0,2,2,16,0,0
2011-07-01,0,1,0,0,5,0,14,1,2,2,254,0,44,0,1,40,3,0,0,3,5,0,0,2,1,19,1,0
2011-08-01,0,0,0,0,4,0,17,1,2,2,308,0,42,0,1,41,2,0,0,4,4,0,0,3,2,19,0,0
2011-09-01,0,0,0,0,4,0,17,1,2,2,300,0,41,0,3,37,2,0,0,3,5,0,0,3,2,17,1,0
2011-10-01,0,0,0,0,4,0,17,1,2,2,308,0,40,0,2,38,3,0,0,3,4,0,0,2,3,19,0,0
2011-11-01,0,1,0,0,4,0,20,1,2,2,322,0,41,0,2,37,3,0,0,3,4,0,0,2,3,23,0,0
2011-12-01,0,0,0,0,5,0,18,2,4,3,358,0,44,0,2,53,3,0,0,4,5,0,0,2,2,25,0,0
2012-01-01,0,1,0,0,4,0,19,1,3,4,350,0,44,0,2,46,4,0,0,3,4,0,0,3,2,28,0,0
2012-02-01,0,1,0,0,3,0,21,1,3,4,347,0,38,0,2,42,3,0,0,2,4,0,0,3,2,27,1,0
2012-03-01,0,0,0,0,3,0,20,1,3,6,354,0,37,0,2,39,4,0,0,4,4,0,0,3,2,26,1,0
2012-04-01,0,1,0,0,5,0,14,1,3,16,325,0,38,0,1,43,4,0,0,3,4,1,0,3,2,30,1,0
2012-05-01,0,0,0,0,4,0,14,1,3,12,308,0,38,0,2,41,4,0,0,3,4,1,0,4,3,31,1,0
2012-06-01,0,1,0,0,5,0,14,1,3,16,304,0,41,0,2,44,5,0,0,4,4,1,0,4,2,34,1,0
2012-07-01,0,1,0,0,6,0,19,1,3,17,297,0,46,0,1,47,5,0,0,4,4,1,0,3,3,43,1,0
2012-08-01,0,1,0,0,6,0,19,1,3,16,318,0,48,0,2,47,6,0,0,4,5,1,0,3,2,41,1,0
2012-09-01,1,1,0,0,4,0,15,1,3,17,318,0,45,0,4,44,6,0,0,5,5,1,0,2,2,36,1,0
2012-10-01,2,1,0,0,4,0,13,1,3,17,279,0,42,0,3,43,5,0,0,4,4,1,0,4,3,35,0,0
2012-11-01,5,1,1,0,4,0,16,1,3,17,258,0,42,0,3,45,5,0,0,3,4,1,0,5,3,37,0,0
2012-12-01,8,1,1,0,4,0,17,1,3,34,290,0,50,0,2,54,5,0,0,4,5,2,0,2,3,42,1,0
2013-01-01,6,1,1,0,5,1,15,1,3,37,279,0,49,0,2,50,6,0,0,3,5,2,0,2,4,45,1,0
2013-02-01,5,1,0,0,5,1,13,1,3,40,254,0,49,0,2,50,7,0,0,4,5,2,0,2,4,42,0,0
2013-03-01,7,1,1,0,5,1,14,1,3,25,240,0,52,0,2,48,5,0,0,4,4,1,0,5,4,41,1,0
2013-04-01,11,1,1,0,5,1,16,1,3,23,229,0,50,0,2,48,5,0,0,4,5,2,0,2,3,38,1,0
2013-05-01,14,1,1,0,5,1,12,2,3,28,218,0,53,0,2,49,5,0,0,3,5,2,0,2,4,35,1,0
2013-06-01,18,1,2,0,5,0,12,2,3,40,218,0,56,0,2,49,5,1,0,4,6,3,0,2,5,39,1,0
2013-07-01,17,1,2,0,6,1,15,2,3,29,222,4,58,0,2,53,5,0,0,5,7,2,0,5,6,45,0,0
2013-08-01,16,1,2,0,6,1,15,2,4,28,222,0,59,0,2,54,5,1,0,5,7,2,0,2,5,43,1,0
2013-09-01,14,1,2,0,5,1,11,2,3,25,204,0,59,0,2,49,5,0,0,4,6,2,0,2,5,38,1,0
2013-10-01,32,1,2,0,4,0,11,2,3,28,193,0,58,0,2,43,5,0,0,4,6,2,0,2,4,36,0,0
