date,who can see my snapchat story,search without history,government monitoring social media,how to delete a snapchat account,how to uninstall gmail,google hangouts privacy,youtube private channel,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2011-01-01,0,77,6,0,136,8,150,0,0,320,300,0,0,7,14,0,43,0
2011-02-01,0,36,12,0,143,0,125,0,0,290,230,0,0,7,24,0,39,9
2011-03-01,0,36,12,0,108,0,97,0,0,360,290,0,0,14,19,0,35,8
2011-04-01,0,53,12,0,104,0,147,10,0,320,340,0,0,20,26,0,38,8
2011-05-01,0,53,12,0,97,0,115,10,0,260,340,0,0,7,33,0,33,8
2011-06-01,0,59,6,0,147,0,154,10,0,350,450,7,0,20,29,0,61,8
2011-07-01,0,53,6,0,108,8,150,10,0,330,580,7,0,27,22,0,69,8
2011-08-01,0,30,6,0,140,8,179,10,0,470,460,7,0,7,13,0,44,0
2011-09-01,0,53,6,0,83,8,208,10,0,330,570,7,0,7,10,8,69,0
2011-10-01,0,48,6,0,150,8,179,10,0,330,520,7,0,14,22,7,41,0
2011-11-01,0,53,24,0,165,8,193,10,0,350,510,20,0,20,22,7,24,0
2011-12-01,0,48,6,0,111,8,268,10,0,410,580,14,0,7,14,6,43,0
2012-01-01,0,59,12,0,133,11,240,10,0,370,550,14,0,14,29,6,57,0
2012-02-01,0,65,18,0,111,11,225,10,0,310,370,40,0,14,16,6,69,0
2012-03-01,0,77,6,0,122,15,261,20,0,360,400,27,0,14,22,6,77,0
2012-04-01,0,65,6,0,125,8,215,20,0,340,450,74,0,27,9,14,77,0
2012-05-01,0,65,6,6,93,8,229,30,0,370,440,94,0,20,19,7,61,0
2012-06-01,0,65,12,6,147,8,222,30,10,380,520,94,0,14,28,7,78,6
2012-07-01,0,77,6,6,143,8,218,30,10,420,530,120,0,14,17,6,73,0
2012-08-01,0,48,6,18,147,8,254,50,10,420,630,147,7,14,30,6,44,0
2012-09-01,0,71,6,24,150,8,261,30,10,470,530,147,7,20,13,6,59,0
2012-10-01,0,89,12,36,150,8,218,40,10,390,430,147,7,14,34,10,82,0
2012-11-01,0,65,6,142,125,8,225,40,10,430,470,114,14,14,31,8,50,0
2012-12-01,0,71,12,153,168,8,243,40,10,440,570,200,14,14,15,12,58,6
2013-01-01,0,71,12,142,175,4,293,30,10,390,620,247,14,14,30,16,72,5
2013-02-01,0,83,6,89,118,8,275,50,10,430,620,300,14,7,25,6,52,6
2013-03-01,0,77,12,118,158,4,283,30,10,420,590,214,14,14,29,9,58,13
2013-04-01,0,83,6,148,136,11,272,40,10,410,580,214,7,14,32,5,83,5
2013-05-01,0,65,6,159,183,22,229,30,10,390,660,234,14,14,32,5,59,22
2013-06-01,0,100,18,195,179,15,240,70,10,450,710,314,14,34,33,5,59,35
2013-07-01,0,83,12,271,197,11,290,60,10,470,760,274,20,34,24,10,60,40
2013-08-01,0,100,6,230,215,18,358,60,10,510,770,327,20,27,43,5,68,41
2013-09-01,0,106,6,195,200,4,293,50,10,510,730,220,14,20,35,5,62,42
2013-10-01,24,71,12,195,172,8,258,60,0,490,710,227,27,20,35,10,52,38
2013-11-01,37,89,18,206,211,15,233,50,0,510,720,200,27,27,32,10,48,45
2013-12-01,44,83,6,295,211,22,304,90,0,550,820,307,14,20,39,5,59,49
2014-01-01,38,89,6,448,254,15,272,60,0,600,900,280,27,20,45,5,75,41
2014-02-01,26,95,18,259,222,18,286,50,10,490,850,294,27,27,30,5,54,48
2014-03-01,25,83,12,336,236,22,265,60,0,540,870,267,14,34,33,9,80,54
2014-04-01,51,89,6,283,197,25,250,40,0,530,790,300,20,14,20,9,64,41
2014-05-01,47,77,12,448,183,11,215,40,10,490,810,247,74,14,33,5,44,53
2014-06-01,38,77,6,395,211,15,211,50,10,470,700,314,20,27,28,13,79,40
2014-07-01,54,95,18,342,215,11,229,30,10,630,910,414,14,27,25,10,99,50
2014-08-01,27,83,24,271,225,22,236,60,10,610,850,374,20,20,35,12,67,51
2014-09-01,43,100,12,300,275,15,211,40,10,550,800,267,27,27,37,16,64,63
2014-10-01,40,112,12,389,225,22,208,40,10,570,790,267,20,20,32,14,67,60
2014-11-01,44,106,12,359,215,11,240,50,0,590,750,327,27,27,35,13,63,66
2014-12-01,34,100,6,448,215,22,247,70,10,540,780,414,20,14,40,12,68,37
2015-01-01,38,89,12,589,215,22,225,60,0,540,800,487,100,20,36,7,66,42
2015-02-01,44,106,6,412,215,18,250,50,10,550,740,360,47,27,25,19,59,47
2015-03-01,60,118,12,430,218,11,261,50,0,460,720,394,34,20,37,9,61,48
2015-04-01,58,106,12,365,183,33,229,50,0,500,700,447,40,34,32,6,80,67
2015-05-01,53,95,6,324,197,15,272,60,20,460,750,400,14,20,24,10,43,58
2015-06-01,39,112,12,371,190,11,218,40,0,510,760,427,27,14,30,9,64,51
2015-07-01,100,106,12,483,218,18,225,50,0,560,790,547,67,20,41,13,76,47
2015-08-01,57,100,6,471,250,8,247,50,10,620,840,574,34,27,61,17,83,58
2015-09-01,50,124,6,359,236,11,197,60,10,510,820,420,60,34,39,4,88,54
2015-10-01,51,95,12,353,193,15,211,70,10,470,720,447,27,20,42,16,76,25
2015-11-01,35,112,12,300,208,11,218,50,0,490,720,420,27,27,43,9,57,34
2015-12-01,45,118,12,406,197,11,225,60,0,490,780,447,40,27,30,15,57,46
2016-01-01,58,112,12,430,211,11,265,80,10,480,860,520,47,20,41,12,58,41
2016-02-01,36,130,12,389,190,11,183,60,10,460,750,514,34,27,31,10,65,28
2016-03-01,68,100,6,412,165,15,247,80,10,410,740,547,60,34,34,13,66,29
2016-04-01,80,124,6,465,179,8,229,70,110,410,730,520,80,34,41,7,37,39
2016-05-01,70,118,6,512,183,4,215,90,20,420,740,540,74,27,23,19,34,23
2016-06-01,60,100,6,542,208,11,208,90,20,460,740,620,114,34,40,6,52,20
2016-07-01,81,112,6,565,218,18,208,90,20,500,1000,667,87,27,35,8,55,21
2016-08-01,81,130,6,471,218,18,225,90,10,470,920,547,74,27,34,21,50,27
2016-09-01,67,106,6,448,222,11,186,70,10,430,850,460,74,40,28,17,56,21
2016-10-01,80,106,12,418,204,15,225,70,10,490,830,567,80,20,27,20,55,20
2016-11-01,64,124,12,442,211,18,211,80,0,450,790,587,100,20,30,20,57,21
2016-12-01,71,112,6,483,211,11,218,70,10,480,940,647,54,27,27,13,64,23
2017-01-01,96,130,6,536,197,8,275,90,10,490,880,614,54,27,40,20,65,22
