date,how to delete a google account,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,how to delete gmail,how to unfollow someone on snapchat,most private browser,how to change facebook privacy settings,how to delete youtube,how to unfriend someone on snapchat,can someone read my text messages from their phone,how to protect against phishing,how to unfriend someone on instagram,how to delete a twitter account,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,how to unfriend someone on facebook,private twitter account,how to delete twitter,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2011-01-01,27,5,0,0,0,0,24,0,350,0,0,7,282,0,0,2,0,9,0,0,1,12,6,100,2,0,4,0
2011-02-01,27,4,1,0,0,0,30,1,350,0,0,7,269,0,0,3,0,12,0,0,1,12,6,106,1,0,4,0
2011-03-01,33,5,1,0,0,0,32,1,350,0,0,7,307,0,2,2,0,19,0,0,1,24,12,124,2,0,4,1
2011-04-01,29,5,1,0,0,0,20,1,384,0,0,7,300,0,0,2,0,15,0,0,1,18,12,153,3,0,3,1
2011-05-01,38,3,1,0,0,0,26,1,367,0,0,7,300,0,0,2,0,18,0,0,1,18,12,153,2,0,3,1
2011-06-01,45,5,1,0,0,0,34,1,426,0,0,7,400,0,0,3,0,26,1,0,1,24,18,183,1,0,5,1
2011-07-01,59,6,1,0,0,0,52,2,501,0,0,7,457,0,0,2,0,32,1,0,2,30,18,218,3,1,8,1
2011-08-01,46,4,1,0,0,0,50,2,484,0,0,13,463,0,0,2,0,28,1,0,1,30,18,218,2,1,4,0
2011-09-01,54,6,1,0,0,0,44,2,476,0,0,32,425,0,0,2,0,28,1,0,1,30,18,189,4,1,6,0
2011-10-01,50,6,1,0,0,1,45,1,451,0,0,25,432,0,2,2,0,30,1,0,2,30,30,218,2,1,5,0
2011-11-01,52,6,2,0,0,1,47,1,476,0,0,25,438,0,2,2,0,37,1,0,1,18,42,259,3,1,2,0
2011-12-01,52,5,1,0,0,1,53,1,501,0,0,19,600,0,0,2,2,36,2,0,1,24,30,283,2,1,3,0
2012-01-01,56,6,1,0,0,1,46,2,509,0,7,19,525,0,0,2,2,43,2,0,2,30,24,318,3,1,5,0
2012-02-01,40,7,1,0,0,1,40,2,434,0,0,19,482,0,0,2,2,35,3,0,1,30,18,306,2,1,7,0
2012-03-01,41,5,1,0,0,1,36,2,426,0,7,19,475,0,0,2,2,42,3,0,1,36,18,300,2,1,6,0
2012-04-01,48,8,1,0,0,1,56,1,442,0,0,19,494,0,0,2,2,49,6,0,2,36,24,348,1,1,7,0
2012-05-01,44,5,1,1,0,1,49,1,442,0,0,19,457,0,0,3,2,44,7,0,2,42,30,353,2,1,7,0
2012-06-01,45,8,1,1,0,1,57,1,467,0,0,19,500,0,0,2,2,56,10,0,2,42,24,389,2,1,7,1
2012-07-01,53,6,1,1,0,1,68,2,525,0,0,19,525,0,0,2,2,58,11,0,1,42,36,495,2,1,9,1
2012-08-01,62,6,1,1,0,1,72,2,550,0,0,32,538,0,0,2,2,70,15,1,1,30,30,471,2,1,6,1
2012-09-01,55,6,1,3,0,1,52,3,517,0,0,38,494,0,0,2,2,71,15,1,2,24,30,406,1,1,6,1
2012-10-01,44,8,1,5,0,1,41,1,476,0,0,38,488,0,2,4,2,58,14,1,2,42,36,400,2,2,6,1
2012-11-01,47,8,1,14,0,1,51,2,484,0,0,32,519,0,2,2,2,55,11,1,1,53,36,418,3,1,5,1
2012-12-01,58,7,1,15,0,1,50,3,575,0,0,25,607,0,2,2,2,58,21,2,2,24,36,477,3,1,7,1
2013-01-01,57,9,2,12,0,1,57,10,559,0,0,25,563,0,2,2,2,71,26,1,2,18,48,512,3,1,6,1
2013-02-01,56,8,1,6,0,1,66,6,559,0,0,19,563,0,2,2,2,77,29,1,2,18,48,477,2,1,5,1
2013-03-01,53,8,1,10,0,1,61,10,592,0,0,19,544,0,0,2,2,59,19,1,1,59,42,465,2,1,6,1
2013-04-01,55,8,1,16,0,1,54,19,575,0,0,19,557,0,0,2,2,55,20,1,2,24,36,430,4,1,9,1
2013-05-01,63,9,1,14,0,2,57,9,609,0,0,19,557,0,0,2,2,64,24,1,2,24,48,400,4,1,6,2
2013-06-01,67,10,2,23,0,1,57,6,642,0,0,19,569,7,0,2,2,63,34,1,3,24,53,448,3,1,7,3
2013-07-01,73,9,1,24,0,1,67,7,659,0,0,19,607,0,0,0,2,62,26,2,3,53,65,506,3,1,5,5
2013-08-01,78,12,1,21,0,1,73,15,684,0,7,19,625,0,0,0,2,63,29,2,2,30,53,495,4,1,7,4
2013-09-01,66,8,1,18,0,1,62,14,675,0,0,19,550,0,0,3,2,61,24,2,2,24,53,430,4,1,7,3
2013-10-01,71,6,1,23,3,1,45,6,667,0,0,19,507,0,0,2,0,56,22,2,2,18,48,406,2,1,5,4
2013-11-01,73,8,1,18,3,2,50,7,642,0,0,13,513,0,0,2,2,53,19,2,2,42,53,395,4,0,4,2
2013-12-01,86,9,0,31,3,1,56,13,750,0,0,19,544,0,0,2,2,59,30,2,3,53,59,448,3,0,7,4
2014-01-01,87,10,1,40,4,2,55,19,817,0,0,19,563,0,0,2,2,74,30,2,3,24,59,501,4,0,6,5
2014-02-01,76,8,1,23,3,1,50,12,759,0,0,13,507,0,0,2,2,77,27,3,2,18,59,471,3,0,6,5
2014-03-01,84,8,1,29,3,1,52,9,750,0,0,13,532,0,0,2,0,66,30,2,3,24,71,483,2,1,7,4
2014-04-01,81,8,1,30,3,2,48,14,767,0,0,13,513,0,0,3,3,65,29,1,2,42,71,448,3,1,6,5
2014-05-01,77,8,1,43,5,2,43,16,717,0,7,13,500,0,0,2,3,63,28,7,1,48,53,448,3,0,5,5
2014-06-01,74,7,1,38,4,1,48,21,759,0,0,19,519,0,0,2,2,72,32,3,2,24,48,465,3,1,8,4
2014-07-01,91,9,1,34,5,1,61,25,775,0,0,13,588,0,0,2,2,85,39,2,2,18,53,495,3,2,11,6
