date,how to unfriend someone on instagram,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2011-01-01,0,63,0,134,0
2011-02-01,0,82,0,100,34
2011-03-01,0,75,0,156,30
2011-04-01,0,126,0,97,0
2011-05-01,0,134,0,119,0
2011-06-01,0,82,0,204,0
2011-07-01,0,100,0,193,0
2011-08-01,0,86,0,152,0
2011-09-01,0,93,26,212,0
2011-10-01,0,63,26,130,0
2011-11-01,0,52,26,71,0
2011-12-01,25,45,26,197,0
2012-01-01,24,112,23,193,0
2012-02-01,24,82,23,297,0
2012-03-01,24,56,23,204,0
2012-04-01,24,49,23,230,0
2012-05-01,68,60,23,167,0
2012-06-01,47,89,23,167,23
2012-07-01,23,49,23,282,19
2012-08-01,22,78,23,223,19
2012-09-01,45,52,23,175,19
2012-10-01,20,78,23,241,19
2012-11-01,41,86,23,197,19
2012-12-01,35,86,23,238,23
2013-01-01,25,82,67,197,38
2013-02-01,31,86,23,189,30
2013-03-01,49,100,38,152,30
2013-04-01,50,141,19,286,38
2013-05-01,24,100,19,223,86
2013-06-01,44,97,30,223,160
2013-07-01,55,126,49,282,182
2013-08-01,18,126,19,260,160
2013-09-01,24,75,19,200,115
2013-10-01,23,112,19,175,197
2013-11-01,17,100,26,171,145
2013-12-01,58,138,19,189,163
2014-01-01,22,89,15,241,163
2014-02-01,41,119,30,193,186
2014-03-01,27,82,45,234,145
2014-04-01,38,89,26,241,149
2014-05-01,100,112,19,204,134
2014-06-01,37,93,26,289,145
2014-07-01,54,78,49,371,171
2014-08-01,18,134,38,275,160
2014-09-01,52,134,49,204,256
2014-10-01,33,104,38,238,226
2014-11-01,42,182,63,245,186
2014-12-01,58,119,52,256,167
2015-01-01,15,149,49,341,178
2015-02-01,22,97,63,160,171
2015-03-01,31,115,49,186,160
2015-04-01,36,112,23,226,200
2015-05-01,61,108,30,160,171
2015-06-01,67,138,63,241,208
2015-07-01,53,119,49,245,197
2015-08-01,45,197,63,330,193
2015-09-01,69,82,60,289,186
2015-10-01,21,138,60,249,104
2015-11-01,34,182,49,126,156
2015-12-01,49,134,60,167,186
2016-01-01,28,130,71,226,189
2016-02-01,64,115,38,219,115
2016-03-01,47,149,26,204,78
2016-04-01,45,126,19,171,108
2016-05-01,65,149,71,126,86
2016-06-01,85,156,75,171,63
2016-07-01,36,149,19,271,100
2016-08-01,75,130,75,204,93
2016-09-01,57,130,49,197,67
2016-10-01,29,97,41,223,41
2016-11-01,71,108,78,245,75
2016-12-01,33,141,38,234,97
2017-01-01,51,163,56,175,82
