date,how to unfollow someone on instagram,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2011-01-01,0,20,0,0,0,0,77,0,0,0,5,6,0,13,0
2011-02-01,0,12,0,0,0,0,101,0,0,0,5,8,0,9,3
2011-03-01,0,14,2,0,0,0,121,0,0,0,5,7,0,15,3
2011-04-01,0,16,4,0,0,0,77,3,0,0,8,12,0,9,0
2011-05-01,0,18,6,0,0,0,90,6,0,0,3,13,0,11,0
2011-06-01,0,14,4,0,0,0,139,6,0,0,3,8,0,20,0
2011-07-01,0,22,2,0,0,0,167,3,3,0,5,10,0,19,0
2011-08-01,0,18,2,0,0,0,142,3,3,0,3,8,0,15,0
2011-09-01,0,18,2,0,0,0,154,8,3,0,3,9,3,20,0
2011-10-01,0,18,2,0,0,0,154,3,5,0,5,6,3,13,0
2011-11-01,3,16,6,0,0,3,170,3,3,0,3,5,3,7,0
2011-12-01,5,16,4,0,0,3,180,3,5,0,5,4,2,19,0
2012-01-01,4,14,2,0,0,3,157,8,8,0,3,11,2,19,0
2012-02-01,4,22,4,0,0,3,149,6,10,0,3,8,2,29,0
2012-03-01,6,22,4,0,0,6,134,11,8,0,5,5,2,19,0
2012-04-01,10,20,2,0,0,3,188,3,22,0,5,5,2,22,0
2012-05-01,17,14,2,2,0,3,188,3,25,0,8,6,2,16,0
2012-06-01,23,24,2,2,0,3,203,8,32,0,5,8,2,16,2
2012-07-01,35,24,2,2,0,3,234,6,47,0,3,5,2,27,2
2012-08-01,27,22,2,6,0,6,216,6,44,0,3,7,2,22,2
2012-09-01,35,26,4,10,0,3,175,8,40,0,5,5,2,17,2
2012-10-01,37,22,4,10,0,3,131,8,35,0,8,7,2,23,2
2012-11-01,31,20,2,51,0,3,167,8,37,0,5,8,2,19,2
2012-12-01,41,24,4,48,0,3,180,6,61,3,8,8,2,23,2
2013-01-01,48,30,4,38,0,3,211,26,96,3,5,8,6,19,4
2013-02-01,54,26,4,26,0,3,221,18,88,3,3,8,2,18,3
2013-03-01,52,24,4,40,0,3,206,36,64,3,3,10,4,15,3
2013-04-01,58,30,4,55,0,3,175,62,76,3,5,13,2,28,4
2013-05-01,52,18,2,55,0,6,201,36,81,3,8,10,2,21,8
2013-06-01,46,32,6,77,0,6,198,29,125,8,13,9,3,22,15
2013-07-01,67,32,4,87,0,6,224,24,91,5,8,12,5,27,17
2013-08-01,71,40,4,77,0,3,257,59,100,5,8,12,2,25,15
2013-09-01,56,32,4,61,0,3,180,44,91,10,13,7,2,19,11
2013-10-01,36,28,4,63,10,3,152,16,71,10,8,11,2,17,19
2013-11-01,56,32,8,71,10,6,167,29,57,5,5,10,3,16,14
2013-12-01,70,30,4,97,14,3,180,44,100,8,8,13,2,18,16
2014-01-01,55,34,2,144,14,6,206,59,103,8,8,8,2,23,16
2014-02-01,52,30,2,77,12,6,167,42,83,8,5,12,3,19,18
2014-03-01,45,34,2,104,10,11,183,34,100,5,5,8,4,22,14
2014-04-01,72,32,2,99,12,6,162,49,105,5,5,9,2,23,14
2014-05-01,69,30,2,151,16,8,152,47,96,20,8,11,2,20,13
2014-06-01,67,28,2,138,14,6,149,72,118,5,3,9,2,28,14
2014-07-01,69,36,2,128,18,8,185,85,130,8,3,8,5,36,16
2014-08-01,73,36,2,95,12,3,193,57,130,8,5,13,4,27,15
2014-09-01,63,38,2,97,18,11,136,29,98,8,3,13,4,20,25
2014-10-01,61,42,6,120,16,8,147,29,91,8,5,10,4,23,22
2014-11-01,64,30,2,130,12,3,139,49,132,13,5,18,6,24,18
