date,how to delete a instagram account,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,most private browser,how to change facebook privacy settings,how to delete youtube,how to unfriend someone on snapchat,can someone read my text messages from their phone,how to protect against phishing,how to unfriend someone on instagram,how to delete a twitter account,how to delete a google account,how to uninstall snapchat,encrypted phone calls,how to unfriend someone on facebook,private twitter account,how to delete twitter
2011-01-01,0,7,0,0,0,0,44,2,0,10,450,0,0,2,0,13,42,0,2,19,10,155
2011-02-01,0,7,1,0,0,0,44,2,0,10,430,0,0,4,0,18,42,0,2,19,10,164
2011-03-01,0,8,1,0,0,0,49,3,0,10,490,0,2,2,0,28,51,0,2,37,19,191
2011-04-01,0,8,1,0,0,0,36,3,0,10,480,0,0,2,0,23,45,0,2,28,19,237
2011-05-01,0,5,1,0,0,0,44,2,0,10,480,0,0,2,0,26,59,0,2,28,19,237
2011-06-01,1,8,1,0,0,0,55,2,0,10,640,0,0,4,0,39,70,0,2,37,28,282
2011-07-01,1,10,1,0,0,0,81,3,0,10,730,0,0,2,0,49,91,0,4,46,28,337
2011-08-01,1,6,1,0,0,0,73,3,0,20,740,0,0,2,0,42,71,0,2,46,28,337
2011-09-01,1,9,2,0,0,0,71,3,0,50,680,0,0,2,0,42,84,0,2,46,28,291
2011-10-01,2,8,2,0,0,2,68,3,0,40,690,0,2,2,0,46,77,0,4,46,46,337
2011-11-01,2,10,3,0,0,2,74,3,0,40,700,0,2,2,0,55,80,0,2,28,64,401
2011-12-01,3,8,1,0,0,2,84,3,0,30,960,0,0,2,2,54,80,0,2,37,46,437
2012-01-01,2,9,1,0,0,2,74,3,10,30,840,0,0,2,2,65,87,0,4,46,37,491
2012-02-01,5,10,2,0,0,2,63,3,0,30,770,0,0,2,2,52,62,0,2,46,28,473
2012-03-01,5,8,1,0,0,2,57,3,10,30,760,0,0,2,2,63,64,0,2,55,28,464
2012-04-01,10,12,1,0,0,2,91,3,0,30,790,0,0,2,2,75,74,0,4,55,37,537
2012-05-01,11,8,1,1,0,2,73,2,0,30,730,0,0,4,2,67,68,0,4,64,46,546
2012-06-01,15,12,1,1,0,2,90,2,0,30,800,0,0,2,2,84,70,0,4,64,37,600
2012-07-01,17,10,2,2,0,2,102,3,0,30,840,0,0,2,2,88,82,0,2,64,55,764
2012-08-01,23,9,1,2,0,2,110,4,0,50,860,0,0,2,2,105,96,2,2,46,46,728
2012-09-01,23,10,1,4,0,2,79,4,0,60,790,0,0,2,2,107,85,2,4,37,46,628
2012-10-01,21,13,1,8,0,3,65,3,0,60,780,0,2,5,2,88,68,2,4,64,55,619
2012-11-01,16,12,1,21,0,2,81,3,0,50,830,0,2,2,2,83,73,2,2,82,55,646
2012-12-01,32,10,1,23,0,2,80,4,0,40,970,0,2,2,2,88,90,4,4,37,55,737
2013-01-01,40,13,2,18,0,2,88,12,0,40,900,0,2,2,2,107,88,2,4,28,73,791
2013-02-01,45,12,1,9,0,3,97,11,0,30,900,0,2,2,2,117,87,2,4,28,73,737
2013-03-01,30,13,2,15,0,2,89,15,0,30,870,0,0,2,2,89,82,2,2,91,64,719
2013-04-01,31,12,1,25,0,2,86,27,0,30,890,0,0,2,2,83,85,2,4,37,55,664
2013-05-01,37,13,2,21,0,3,84,14,0,30,890,0,0,2,2,97,97,2,4,37,73,619
2013-06-01,53,15,3,36,0,3,88,9,0,30,910,10,0,2,2,96,104,2,5,37,82,691
2013-07-01,40,14,1,37,0,2,111,12,0,30,970,0,0,0,2,94,113,4,5,82,101,782
2013-08-01,45,18,1,32,0,2,115,23,10,30,1000,0,0,0,2,96,120,4,4,46,82,764
2013-09-01,37,12,2,27,0,2,89,22,0,30,880,0,0,4,2,92,102,4,4,37,82,664
2013-10-01,33,10,1,35,4,2,71,9,0,30,810,0,0,2,0,84,110,4,4,28,73,628
2013-11-01,29,12,2,28,5,3,76,11,0,20,820,0,0,2,2,80,113,4,4,64,82,610
2013-12-01,46,14,1,48,5,3,87,20,0,30,870,0,0,2,2,89,133,4,5,82,91,691
2014-01-01,47,16,1,62,6,4,82,28,0,30,900,0,0,2,2,112,134,4,5,37,91,773
2014-02-01,41,12,1,36,5,3,75,22,0,20,810,0,0,2,2,117,117,5,4,28,91,728
2014-03-01,45,12,2,44,4,3,79,15,0,20,850,0,0,2,0,100,130,4,5,37,110,746
2014-04-01,44,12,2,46,5,3,73,19,0,20,820,0,0,4,4,99,125,2,4,64,110,691
2014-05-01,43,13,1,66,8,4,66,23,10,20,800,0,0,2,4,96,119,11,2,73,82,691
2014-06-01,50,11,2,59,6,2,71,33,0,30,830,0,0,2,2,109,114,5,4,37,73,719
