date,google hangouts privacy,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2011-01-01,0,66,0,139,0
2011-02-01,0,85,0,104,35
2011-03-01,0,77,0,162,31
2011-04-01,0,131,0,100,0
2011-05-01,0,139,0,124,0
2011-06-01,0,85,0,212,0
2011-07-01,0,104,0,200,0
2011-08-01,0,89,0,158,0
2011-09-01,0,97,27,220,0
2011-10-01,0,66,27,135,0
2011-11-01,27,54,27,74,0
2011-12-01,24,47,27,204,0
2012-01-01,24,116,24,200,0
2012-02-01,36,85,24,308,0
2012-03-01,48,58,24,212,0
2012-04-01,25,50,24,239,0
2012-05-01,23,62,24,174,0
2012-06-01,24,93,24,174,24
2012-07-01,24,50,24,293,20
2012-08-01,48,81,24,231,20
2012-09-01,43,54,24,181,20
2012-10-01,43,81,24,250,20
2012-11-01,21,89,24,204,20
2012-12-01,22,89,24,247,24
2013-01-01,20,85,70,204,39
2013-02-01,22,89,24,197,31
2013-03-01,19,104,39,158,31
2013-04-01,29,147,20,297,39
2013-05-01,44,104,20,231,89
2013-06-01,59,100,31,231,166
2013-07-01,57,131,50,293,189
2013-08-01,45,131,20,270,166
2013-09-01,19,77,20,208,120
2013-10-01,36,116,20,181,204
2013-11-01,48,104,27,177,150
2013-12-01,48,143,20,197,170
2014-01-01,45,93,16,250,170
2014-02-01,56,124,31,200,193
2014-03-01,100,85,47,243,150
2014-04-01,51,93,27,250,154
2014-05-01,78,116,20,212,139
2014-06-01,45,97,27,300,150
2014-07-01,56,81,50,385,177
2014-08-01,50,139,39,285,166
2014-09-01,72,139,50,212,266
2014-10-01,63,108,39,247,235
2014-11-01,17,189,66,254,193
2014-12-01,40,124,54,266,174
2015-01-01,70,154,50,354,185
2015-02-01,47,100,66,166,177
2015-03-01,43,120,50,193,166
2015-04-01,41,116,24,235,208
2015-05-01,74,112,31,166,177
2015-06-01,38,143,66,250,216
2015-07-01,58,124,50,254,204
2015-08-01,53,204,66,343,200
2015-09-01,72,85,62,300,193
2015-10-01,49,143,62,258,108
2015-11-01,60,189,50,131,162
2015-12-01,30,139,62,174,193
2016-01-01,44,135,74,235,197
2016-02-01,48,120,39,227,120
2016-03-01,53,154,27,212,81
2016-04-01,28,131,20,177,112
2016-05-01,34,154,74,131,89
2016-06-01,21,162,77,177,66
2016-07-01,42,154,20,281,104
2016-08-01,34,135,77,212,97
2016-09-01,50,135,50,204,70
2016-10-01,47,100,43,231,43
2016-11-01,39,112,81,254,77
2016-12-01,52,147,39,243,100
2017-01-01,29,170,58,181,85
