date,how to uninstall snapchat,can someone read my text messages from their phone,how to protect against phishing,how to unfriend someone on instagram,how to delete a twitter account
2011-01-01,0,9,9,0,67
2011-02-01,0,9,9,0,117
2011-03-01,0,9,9,0,159
2011-04-01,0,0,9,0,84
2011-05-01,0,0,9,0,159
2011-06-01,0,0,9,0,209
2011-07-01,0,0,9,0,300
2011-08-01,0,0,9,0,242
2011-09-01,0,0,9,0,242
2011-10-01,0,0,9,0,242
2011-11-01,0,0,9,0,292
2011-12-01,0,0,9,9,317
2012-01-01,0,0,9,9,400
2012-02-01,0,0,9,9,334
2012-03-01,0,0,9,9,350
2012-04-01,0,0,9,9,375
2012-05-01,0,9,17,17,359
2012-06-01,0,9,9,17,484
2012-07-01,0,0,9,9,459
2012-08-01,0,0,9,9,642
2012-09-01,0,0,9,9,550
2012-10-01,0,0,17,9,459
2012-11-01,0,0,9,9,484
2012-12-01,5,0,25,9,501
2013-01-01,5,0,9,9,675
2013-02-01,7,9,9,9,684
2013-03-01,9,0,9,9,484
2013-04-01,7,0,9,9,501
2013-05-01,4,0,9,9,476
2013-06-01,16,0,9,17,575
2013-07-01,11,0,9,17,542
2013-08-01,11,0,9,9,484
2013-09-01,26,0,17,9,501
2013-10-01,27,0,9,9,501
2013-11-01,15,9,9,9,467
2013-12-01,21,0,9,17,484
2014-01-01,16,0,0,9,650
2014-02-01,17,0,9,9,642
2014-03-01,14,0,9,0,567
2014-04-01,10,0,9,9,550
2014-05-01,49,0,9,17,592
2014-06-01,14,0,9,9,534
2014-07-01,15,0,17,17,684
2014-08-01,18,0,9,9,575
2014-09-01,19,0,9,17,550
2014-10-01,16,0,17,0,600
2014-11-01,29,0,9,9,584
2014-12-01,20,0,9,9,625
2015-01-01,99,0,9,0,725
2015-02-01,54,0,9,9,642
2015-03-01,21,0,9,9,542
2015-04-01,38,0,9,9,609
2015-05-01,17,0,9,9,625
2015-06-01,19,0,9,9,834
2015-07-01,43,0,9,17,667
2015-08-01,26,0,0,9,600
2015-09-01,51,0,9,17,625
2015-10-01,26,0,9,9,659
2015-11-01,34,0,9,9,684
2015-12-01,36,0,9,17,667
2016-01-01,35,0,9,9,617
2016-02-01,37,0,17,17,484
2016-03-01,65,9,9,9,567
2016-04-01,97,0,0,9,609
2016-05-01,68,0,9,17,584
2016-06-01,100,9,0,17,567
2016-07-01,77,9,0,9,634
2016-08-01,68,0,17,17,617
2016-09-01,40,0,9,17,584
2016-10-01,65,0,17,9,492
2016-11-01,72,9,17,17,550
2016-12-01,52,0,0,9,534
2017-01-01,52,9,9,17,709
