date,how to unfriend someone on facebook,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,most private browser,how to change facebook privacy settings,how to delete youtube,how to unfriend someone on snapchat,can someone read my text messages from their phone,how to protect against phishing,how to unfriend someone on instagram,how to delete a twitter account,encrypted phone calls,private twitter account,how to delete twitter,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2011-01-01,22,8,0,0,0,0,33,0,276,18,0,19,401,0,2,2,0,13,0,9,159,2,0,5,0
2011-02-01,23,5,0,0,0,0,43,0,214,18,0,10,401,0,2,2,0,19,0,9,150,3,0,4,1
2011-03-01,32,6,1,0,0,0,52,0,190,18,0,10,410,0,2,2,0,27,0,17,184,3,0,6,1
2011-04-01,28,6,1,0,0,0,33,2,176,18,0,10,437,0,0,3,0,17,0,17,200,5,0,4,0
2011-05-01,23,7,2,0,0,0,39,3,214,18,0,10,437,0,0,2,0,27,0,17,234,5,0,5,0
2011-06-01,34,6,1,0,0,0,60,3,218,21,0,10,582,0,0,2,0,35,0,25,267,3,0,8,0
2011-07-01,37,9,1,0,0,0,72,2,249,18,0,10,664,0,0,2,0,46,0,25,309,4,0,8,0
2011-08-01,39,7,1,0,0,0,61,2,283,25,0,19,691,0,0,2,0,44,0,17,317,3,0,6,0
2011-09-01,38,7,1,0,0,0,66,4,276,18,0,46,619,0,0,2,0,41,0,25,300,4,1,8,0
2011-10-01,37,7,1,0,0,0,66,2,297,18,0,37,619,0,0,2,0,38,0,42,317,2,1,5,0
2011-11-01,23,7,2,0,0,2,73,2,345,25,0,37,637,0,0,2,0,50,0,50,375,2,1,3,0
2011-12-01,34,6,2,0,0,2,77,2,314,21,0,28,855,0,0,2,2,53,0,42,417,2,1,8,0
2012-01-01,48,6,1,0,0,2,68,4,328,21,0,28,773,0,0,2,2,64,0,25,442,4,1,8,0
2012-02-01,44,9,2,0,0,2,64,3,332,14,10,28,682,0,0,2,2,50,0,25,426,3,1,12,0
2012-03-01,41,9,1,0,0,3,58,5,314,18,0,28,682,0,0,2,2,57,0,25,417,2,1,8,0
2012-04-01,53,8,1,0,0,2,81,2,225,18,0,37,691,0,0,2,2,67,0,34,492,2,1,9,0
2012-05-01,56,6,1,1,0,2,81,2,221,18,0,28,673,0,2,3,3,57,0,42,484,2,1,7,0
2012-06-01,65,10,1,1,0,2,87,4,238,21,0,28,710,0,2,2,2,82,0,42,592,3,1,7,1
2012-07-01,54,10,1,1,0,2,101,3,307,21,0,28,755,0,0,2,2,81,0,42,684,2,1,11,1
2012-08-01,41,9,1,2,0,3,93,3,311,25,0,37,755,0,0,2,2,107,0,42,642,3,1,9,1
2012-09-01,36,10,1,4,0,2,75,4,245,18,0,64,710,0,0,2,2,99,0,42,575,2,1,7,1
2012-10-01,58,9,1,4,0,2,57,4,214,21,0,64,701,0,0,3,2,78,0,50,584,3,1,10,1
2012-11-01,86,8,1,21,0,2,72,4,269,25,0,37,746,0,0,2,2,78,0,50,600,3,1,8,1
2012-12-01,28,10,2,19,0,2,77,3,280,21,0,46,864,0,0,3,2,81,0,50,667,3,1,9,1
2013-01-01,29,12,2,15,0,2,91,11,252,21,0,37,819,0,0,2,2,113,0,59,734,3,3,8,1
2013-02-01,26,10,1,11,0,2,95,8,232,18,0,37,828,0,2,2,2,110,0,67,675,3,1,8,1
2013-03-01,82,10,1,16,0,2,88,16,238,21,0,28,773,0,0,2,2,84,0,67,659,4,1,6,1
2013-04-01,36,12,1,23,0,2,75,27,252,21,0,28,791,0,0,2,2,78,0,50,634,6,1,11,2
2013-05-01,33,8,1,23,0,3,86,16,194,28,0,28,782,0,0,2,2,80,0,67,575,4,1,9,3
2013-06-01,30,13,3,32,0,3,85,13,200,32,0,28,828,10,0,2,2,95,9,84,642,4,1,9,6
2013-07-01,82,13,1,35,0,3,96,10,256,25,0,28,864,0,0,2,3,85,0,100,734,5,2,11,7
2013-08-01,37,16,1,31,0,2,110,26,245,28,10,28,910,0,2,2,2,85,0,84,717,5,1,10,6
