date,hangouts encryption,google hangouts privacy
2011-01-01,0,22
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,22,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,19
2011-11-01,0,19
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,17
2012-04-01,17,17
2012-05-01,16,16
2012-06-01,0,17
2012-07-01,0,0
2012-08-01,16,33
2012-09-01,0,0
2012-10-01,0,15
2012-11-01,0,15
2012-12-01,15,15
2013-01-01,13,13
2013-02-01,0,22
2013-03-01,0,13
2013-04-01,0,14
2013-05-01,18,53
2013-06-01,20,32
2013-07-01,13,33
2013-08-01,26,40
2013-09-01,13,22
2013-10-01,31,16
2013-11-01,42,46
2013-12-01,34,34
2014-01-01,35,47
2014-02-01,32,43
2014-03-01,23,50
2014-04-01,24,47
2014-05-01,32,36
2014-06-01,31,40
2014-07-01,26,26
2014-08-01,13,52
2014-09-01,17,33
2014-10-01,43,30
2014-11-01,48,20
2014-12-01,65,51
2015-01-01,22,34
2015-02-01,28,48
2015-03-01,40,28
2015-04-01,34,41
2015-05-01,40,22
2015-06-01,37,37
2015-07-01,55,33
2015-08-01,47,43
2015-09-01,36,32
2015-10-01,24,50
2015-11-01,98,31
2015-12-01,49,21
2016-01-01,60,30
2016-02-01,63,40
2016-03-01,71,37
2016-04-01,77,35
2016-05-01,65,9
2016-06-01,29,24
2016-07-01,68,26
2016-08-01,53,28
2016-09-01,100,44
2016-10-01,53,50
2016-11-01,45,18
2016-12-01,27,33
2017-01-01,56,25
