date,delete snapchat chat account
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,7
2012-06-01,7
2012-07-01,7
2012-08-01,7
2012-09-01,15
2012-10-01,16
2012-11-01,50
2012-12-01,44
2013-01-01,19
2013-02-01,25
2013-03-01,20
2013-04-01,33
2013-05-01,36
2013-06-01,64
2013-07-01,38
2013-08-01,22
2013-09-01,16
2013-10-01,36
2013-11-01,23
2013-12-01,25
2014-01-01,60
2014-02-01,33
2014-03-01,56
2014-04-01,35
2014-05-01,79
2014-06-01,43
2014-07-01,69
2014-08-01,44
2014-09-01,51
2014-10-01,43
2014-11-01,61
2014-12-01,46
2015-01-01,55
2015-02-01,46
2015-03-01,55
2015-04-01,40
2015-05-01,43
2015-06-01,66
2015-07-01,74
2015-08-01,57
2015-09-01,64
2015-10-01,39
2015-11-01,46
2015-12-01,47
2016-01-01,59
2016-02-01,62
2016-03-01,51
2016-04-01,66
2016-05-01,68
2016-06-01,100
2016-07-01,46
2016-08-01,40
2016-09-01,68
2016-10-01,88
2016-11-01,72
2016-12-01,63
2017-01-01,61
