date,how to delete a snapchat account
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,1
2012-06-01,1
2012-07-01,2
2012-08-01,2
2012-09-01,2
2012-10-01,5
2012-11-01,24
2012-12-01,28
2013-01-01,17
2013-02-01,11
2013-03-01,22
2013-04-01,27
2013-05-01,27
2013-06-01,37
2013-07-01,42
2013-08-01,36
2013-09-01,31
2013-10-01,30
2013-11-01,34
2013-12-01,46
2014-01-01,64
2014-02-01,43
2014-03-01,55
2014-04-01,49
2014-05-01,71
2014-06-01,59
2014-07-01,61
2014-08-01,48
2014-09-01,57
2014-10-01,60
2014-11-01,53
2014-12-01,68
2015-01-01,89
2015-02-01,58
2015-03-01,68
2015-04-01,59
2015-05-01,48
2015-06-01,62
2015-07-01,79
2015-08-01,90
2015-09-01,66
2015-10-01,50
2015-11-01,52
2015-12-01,64
2016-01-01,71
2016-02-01,66
2016-03-01,76
2016-04-01,77
2016-05-01,100
2016-06-01,87
2016-07-01,92
2016-08-01,80
2016-09-01,66
2016-10-01,74
2016-11-01,69
2016-12-01,77
2017-01-01,80
