date,youtube private video watch,youtube private channel
2011-01-01,11,38
2011-02-01,9,34
2011-03-01,11,30
2011-04-01,6,41
2011-05-01,6,29
2011-06-01,10,36
2011-07-01,15,46
2011-08-01,18,56
2011-09-01,11,56
2011-10-01,20,47
2011-11-01,15,53
2011-12-01,12,79
2012-01-01,13,71
2012-02-01,25,66
2012-03-01,12,73
2012-04-01,14,61
2012-05-01,19,59
2012-06-01,13,53
2012-07-01,29,60
2012-08-01,22,71
2012-09-01,18,70
2012-10-01,17,62
2012-11-01,14,68
2012-12-01,16,66
2013-01-01,22,77
2013-02-01,29,78
2013-03-01,17,79
2013-04-01,20,79
2013-05-01,19,64
2013-06-01,30,67
2013-07-01,38,78
2013-08-01,23,100
2013-09-01,23,84
2013-10-01,24,78
2013-11-01,27,64
2013-12-01,28,90
2014-01-01,25,74
2014-02-01,26,73
2014-03-01,23,75
2014-04-01,22,75
2014-05-01,22,57
2014-06-01,26,63
2014-07-01,23,61
2014-08-01,22,53
2014-09-01,24,61
2014-10-01,19,55
2014-11-01,26,70
2014-12-01,26,68
2015-01-01,23,61
2015-02-01,23,65
2015-03-01,28,70
2015-04-01,20,66
2015-05-01,28,82
2015-06-01,27,64
2015-07-01,20,61
2015-08-01,19,71
2015-09-01,27,52
2015-10-01,21,62
2015-11-01,18,59
2015-12-01,19,68
2016-01-01,19,72
2016-02-01,18,52
2016-03-01,20,65
2016-04-01,25,59
2016-05-01,28,60
2016-06-01,21,63
2016-07-01,17,59
2016-08-01,21,60
2016-09-01,20,49
2016-10-01,18,67
2016-11-01,22,64
2016-12-01,14,63
2017-01-01,13,76
