date,what does private mean on youtube,youtube private channel
2011-01-01,5,42
2011-02-01,3,35
2011-03-01,2,27
2011-04-01,3,41
2011-05-01,3,32
2011-06-01,4,43
2011-07-01,5,42
2011-08-01,2,50
2011-09-01,4,58
2011-10-01,2,50
2011-11-01,2,54
2011-12-01,4,75
2012-01-01,3,67
2012-02-01,2,63
2012-03-01,2,73
2012-04-01,3,60
2012-05-01,4,64
2012-06-01,5,62
2012-07-01,3,61
2012-08-01,5,71
2012-09-01,4,73
2012-10-01,3,61
2012-11-01,4,63
2012-12-01,4,68
2013-01-01,5,82
2013-02-01,4,77
2013-03-01,4,79
2013-04-01,4,76
2013-05-01,7,64
2013-06-01,6,67
2013-07-01,8,81
2013-08-01,7,100
2013-09-01,7,82
2013-10-01,5,72
2013-11-01,7,65
2013-12-01,5,85
2014-01-01,5,76
2014-02-01,6,80
2014-03-01,9,74
2014-04-01,13,70
2014-05-01,9,60
2014-06-01,10,59
2014-07-01,11,64
2014-08-01,11,66
2014-09-01,9,59
2014-10-01,11,58
2014-11-01,8,67
2014-12-01,8,69
2015-01-01,8,63
2015-02-01,7,70
2015-03-01,10,73
2015-04-01,16,64
2015-05-01,7,76
2015-06-01,11,61
2015-07-01,10,63
2015-08-01,8,69
2015-09-01,11,55
2015-10-01,11,59
2015-11-01,9,61
2015-12-01,11,63
2016-01-01,9,74
2016-02-01,9,51
2016-03-01,9,69
2016-04-01,10,64
2016-05-01,9,60
2016-06-01,8,58
2016-07-01,8,58
2016-08-01,7,63
2016-09-01,8,52
2016-10-01,10,63
2016-11-01,6,59
2016-12-01,8,61
2017-01-01,9,77
