date,unlisted meaning,youtube private channel
2011-01-01,2,42
2011-02-01,3,35
2011-03-01,2,27
2011-04-01,4,41
2011-05-01,5,32
2011-06-01,2,43
2011-07-01,2,42
2011-08-01,2,50
2011-09-01,2,58
2011-10-01,2,50
2011-11-01,2,54
2011-12-01,2,75
2012-01-01,2,67
2012-02-01,4,63
2012-03-01,3,73
2012-04-01,3,60
2012-05-01,2,64
2012-06-01,6,62
2012-07-01,4,61
2012-08-01,3,71
2012-09-01,4,73
2012-10-01,5,61
2012-11-01,4,63
2012-12-01,3,68
2013-01-01,3,82
2013-02-01,2,77
2013-03-01,4,79
2013-04-01,4,76
2013-05-01,6,64
2013-06-01,3,67
2013-07-01,4,81
2013-08-01,9,100
2013-09-01,5,82
2013-10-01,6,72
2013-11-01,7,65
2013-12-01,9,85
2014-01-01,5,76
2014-02-01,8,80
2014-03-01,8,74
2014-04-01,16,70
2014-05-01,19,60
2014-06-01,12,59
2014-07-01,18,64
2014-08-01,15,66
2014-09-01,7,59
2014-10-01,12,58
2014-11-01,11,67
2014-12-01,12,69
2015-01-01,12,63
2015-02-01,12,70
2015-03-01,10,73
2015-04-01,8,64
2015-05-01,12,76
2015-06-01,15,61
2015-07-01,13,63
2015-08-01,12,69
2015-09-01,15,55
2015-10-01,19,59
2015-11-01,15,61
2015-12-01,19,63
2016-01-01,14,74
2016-02-01,23,51
2016-03-01,18,69
2016-04-01,21,64
2016-05-01,19,60
2016-06-01,19,58
2016-07-01,20,58
2016-08-01,19,63
2016-09-01,25,52
2016-10-01,30,63
2016-11-01,20,59
2016-12-01,18,61
2017-01-01,18,77
