date,how to share youtube videos on facebook,youtube private channel
2011-01-01,18,42
2011-02-01,25,35
2011-03-01,21,27
2011-04-01,36,41
2011-05-01,30,32
2011-06-01,29,43
2011-07-01,39,42
2011-08-01,37,50
2011-09-01,43,58
2011-10-01,44,50
2011-11-01,52,54
2011-12-01,52,75
2012-01-01,65,67
2012-02-01,63,63
2012-03-01,61,73
2012-04-01,53,60
2012-05-01,44,64
2012-06-01,40,62
2012-07-01,45,61
2012-08-01,43,71
2012-09-01,35,73
2012-10-01,29,61
2012-11-01,21,63
2012-12-01,20,68
2013-01-01,26,82
2013-02-01,27,77
2013-03-01,20,79
2013-04-01,21,76
2013-05-01,31,64
2013-06-01,26,67
2013-07-01,23,81
2013-08-01,24,100
2013-09-01,26,82
2013-10-01,26,72
2013-11-01,26,65
2013-12-01,13,85
2014-01-01,18,76
2014-02-01,23,80
2014-03-01,17,74
2014-04-01,9,70
2014-05-01,9,60
2014-06-01,10,59
2014-07-01,16,64
2014-08-01,15,66
2014-09-01,10,59
2014-10-01,13,58
2014-11-01,15,67
2014-12-01,17,69
2015-01-01,16,63
2015-02-01,12,70
2015-03-01,11,73
2015-04-01,20,64
2015-05-01,13,76
2015-06-01,10,61
2015-07-01,10,63
2015-08-01,9,69
2015-09-01,16,55
2015-10-01,14,59
2015-11-01,12,61
2015-12-01,11,63
2016-01-01,12,74
2016-02-01,16,51
2016-03-01,14,69
2016-04-01,11,64
2016-05-01,13,60
2016-06-01,10,58
2016-07-01,12,58
2016-08-01,16,63
2016-09-01,12,52
2016-10-01,10,63
2016-11-01,13,59
2016-12-01,16,61
2017-01-01,12,77
