date,share private youtube video,youtube private channel
2011-01-01,10,42
2011-02-01,8,35
2011-03-01,9,27
2011-04-01,9,41
2011-05-01,8,32
2011-06-01,5,43
2011-07-01,6,42
2011-08-01,5,50
2011-09-01,5,58
2011-10-01,7,50
2011-11-01,7,54
2011-12-01,7,75
2012-01-01,14,67
2012-02-01,11,63
2012-03-01,11,73
2012-04-01,14,60
2012-05-01,12,64
2012-06-01,16,62
2012-07-01,18,61
2012-08-01,19,71
2012-09-01,19,73
2012-10-01,23,61
2012-11-01,25,63
2012-12-01,26,68
2013-01-01,24,82
2013-02-01,27,77
2013-03-01,30,79
2013-04-01,23,76
2013-05-01,24,64
2013-06-01,28,67
2013-07-01,20,81
2013-08-01,29,100
2013-09-01,27,82
2013-10-01,22,72
2013-11-01,22,65
2013-12-01,23,85
2014-01-01,21,76
2014-02-01,21,80
2014-03-01,20,74
2014-04-01,29,70
2014-05-01,31,60
2014-06-01,18,59
2014-07-01,30,64
2014-08-01,29,66
2014-09-01,35,59
2014-10-01,36,58
2014-11-01,30,67
2014-12-01,35,69
2015-01-01,26,63
2015-02-01,40,70
2015-03-01,34,73
2015-04-01,43,64
2015-05-01,35,76
2015-06-01,42,61
2015-07-01,35,63
2015-08-01,31,69
2015-09-01,33,55
2015-10-01,33,59
2015-11-01,36,61
2015-12-01,42,63
2016-01-01,30,74
2016-02-01,30,51
2016-03-01,38,69
2016-04-01,36,64
2016-05-01,33,60
2016-06-01,30,58
2016-07-01,35,58
2016-08-01,32,63
2016-09-01,38,52
2016-10-01,33,63
2016-11-01,28,59
2016-12-01,31,61
2017-01-01,44,77
