date,Delete YouTube App,how to delete youtube
2011-01-01,1,45
2011-02-01,1,43
2011-03-01,1,46
2011-04-01,1,49
2011-05-01,1,47
2011-06-01,1,65
2011-07-01,2,73
2011-08-01,3,74
2011-09-01,2,65
2011-10-01,2,66
2011-11-01,2,70
2011-12-01,3,95
2012-01-01,2,86
2012-02-01,2,74
2012-03-01,2,75
2012-04-01,2,76
2012-05-01,2,70
2012-06-01,2,78
2012-07-01,2,86
2012-08-01,2,83
2012-09-01,7,78
2012-10-01,6,77
2012-11-01,5,80
2012-12-01,7,95
2013-01-01,6,91
2013-02-01,6,88
2013-03-01,5,87
2013-04-01,5,88
2013-05-01,5,87
2013-06-01,6,90
2013-07-01,5,95
2013-08-01,7,100
2013-09-01,6,85
2013-10-01,5,78
2013-11-01,5,82
2013-12-01,5,83
2014-01-01,6,87
2014-02-01,4,81
2014-03-01,5,83
2014-04-01,5,83
2014-05-01,5,80
2014-06-01,5,81
2014-07-01,5,96
2014-08-01,6,98
2014-09-01,6,89
2014-10-01,5,85
2014-11-01,5,88
2014-12-01,5,90
2015-01-01,5,90
2015-02-01,4,81
2015-03-01,4,79
2015-04-01,4,81
2015-05-01,5,79
2015-06-01,4,82
2015-07-01,5,88
2015-08-01,5,87
2015-09-01,5,77
2015-10-01,4,73
2015-11-01,5,71
2015-12-01,6,79
2016-01-01,5,79
2016-02-01,4,74
2016-03-01,3,69
2016-04-01,4,69
2016-05-01,4,70
2016-06-01,3,73
2016-07-01,4,76
2016-08-01,5,74
2016-09-01,4,71
2016-10-01,4,71
2016-11-01,5,69
2016-12-01,5,77
2017-01-01,5,79
