date,Delete Youtube Video,how to delete youtube
2011-01-01,16,45
2011-02-01,14,41
2011-03-01,20,45
2011-04-01,17,46
2011-05-01,16,45
2011-06-01,30,63
2011-07-01,32,72
2011-08-01,31,73
2011-09-01,24,63
2011-10-01,26,66
2011-11-01,27,68
2011-12-01,33,90
2012-01-01,29,84
2012-02-01,25,74
2012-03-01,25,73
2012-04-01,22,76
2012-05-01,19,69
2012-06-01,23,77
2012-07-01,25,83
2012-08-01,25,82
2012-09-01,22,78
2012-10-01,23,74
2012-11-01,22,78
2012-12-01,24,94
2013-01-01,21,93
2013-02-01,22,87
2013-03-01,22,86
2013-04-01,23,85
2013-05-01,23,85
2013-06-01,23,90
2013-07-01,22,93
2013-08-01,18,100
2013-09-01,15,84
2013-10-01,15,77
2013-11-01,14,79
2013-12-01,15,84
2014-01-01,15,86
2014-02-01,16,79
2014-03-01,16,83
2014-04-01,16,80
2014-05-01,16,77
2014-06-01,15,80
2014-07-01,20,94
2014-08-01,21,98
2014-09-01,18,87
2014-10-01,17,84
2014-11-01,19,86
2014-12-01,20,88
2015-01-01,19,88
2015-02-01,18,77
2015-03-01,18,79
2015-04-01,19,79
2015-05-01,19,78
2015-06-01,19,81
2015-07-01,19,84
2015-08-01,18,86
2015-09-01,18,74
2015-10-01,18,73
2015-11-01,17,70
2015-12-01,19,82
2016-01-01,19,80
2016-02-01,16,70
2016-03-01,16,68
2016-04-01,17,68
2016-05-01,17,69
2016-06-01,17,71
2016-07-01,17,76
2016-08-01,17,77
2016-09-01,16,73
2016-10-01,15,69
2016-11-01,16,70
2016-12-01,17,75
2017-01-01,19,78
