date,Delete Video from Youtube,how to delete youtube
2011-01-01,4,45
2011-02-01,4,41
2011-03-01,5,45
2011-04-01,3,46
2011-05-01,5,45
2011-06-01,8,63
2011-07-01,7,72
2011-08-01,6,73
2011-09-01,6,63
2011-10-01,6,66
2011-11-01,7,68
2011-12-01,8,90
2012-01-01,7,84
2012-02-01,6,74
2012-03-01,6,73
2012-04-01,5,76
2012-05-01,5,69
2012-06-01,5,77
2012-07-01,6,83
2012-08-01,6,82
2012-09-01,5,78
2012-10-01,6,74
2012-11-01,6,78
2012-12-01,6,94
2013-01-01,5,93
2013-02-01,6,87
2013-03-01,6,86
2013-04-01,5,85
2013-05-01,6,85
2013-06-01,6,90
2013-07-01,4,93
2013-08-01,4,100
2013-09-01,4,84
2013-10-01,4,77
2013-11-01,4,79
2013-12-01,5,84
2014-01-01,4,86
2014-02-01,4,79
2014-03-01,4,83
2014-04-01,4,80
2014-05-01,4,77
2014-06-01,3,80
2014-07-01,5,94
2014-08-01,5,98
2014-09-01,5,87
2014-10-01,5,84
2014-11-01,5,86
2014-12-01,5,88
2015-01-01,5,88
2015-02-01,4,77
2015-03-01,5,79
2015-04-01,5,79
2015-05-01,5,78
2015-06-01,5,81
2015-07-01,4,84
2015-08-01,4,86
2015-09-01,4,74
2015-10-01,4,73
2015-11-01,5,70
2015-12-01,5,82
2016-01-01,4,80
2016-02-01,4,70
2016-03-01,4,68
2016-04-01,4,68
2016-05-01,4,69
2016-06-01,4,71
2016-07-01,4,76
2016-08-01,4,77
2016-09-01,4,73
2016-10-01,4,69
2016-11-01,4,70
2016-12-01,4,75
2017-01-01,5,78
