date,uninstall YouTube,how to delete youtube
2011-01-01,12,45
2011-02-01,13,41
2011-03-01,16,45
2011-04-01,11,46
2011-05-01,11,45
2011-06-01,12,63
2011-07-01,13,72
2011-08-01,14,73
2011-09-01,12,63
2011-10-01,13,66
2011-11-01,14,68
2011-12-01,14,90
2012-01-01,13,84
2012-02-01,11,74
2012-03-01,13,73
2012-04-01,13,76
2012-05-01,11,69
2012-06-01,14,77
2012-07-01,16,83
2012-08-01,15,82
2012-09-01,17,78
2012-10-01,15,74
2012-11-01,14,78
2012-12-01,17,94
2013-01-01,13,93
2013-02-01,15,87
2013-03-01,13,86
2013-04-01,14,85
2013-05-01,13,85
2013-06-01,15,90
2013-07-01,15,93
2013-08-01,16,100
2013-09-01,15,84
2013-10-01,16,77
2013-11-01,18,79
2013-12-01,17,84
2014-01-01,18,86
2014-02-01,17,79
2014-03-01,18,83
2014-04-01,16,80
2014-05-01,16,77
2014-06-01,16,80
2014-07-01,18,94
2014-08-01,19,98
2014-09-01,20,87
2014-10-01,18,84
2014-11-01,18,86
2014-12-01,18,88
2015-01-01,19,88
2015-02-01,18,77
2015-03-01,16,79
2015-04-01,15,79
2015-05-01,15,78
2015-06-01,16,81
2015-07-01,18,84
2015-08-01,17,86
2015-09-01,16,74
2015-10-01,15,73
2015-11-01,14,70
2015-12-01,16,82
2016-01-01,15,80
2016-02-01,14,70
2016-03-01,12,68
2016-04-01,13,68
2016-05-01,13,69
2016-06-01,13,71
2016-07-01,14,76
2016-08-01,14,77
2016-09-01,14,73
2016-10-01,15,69
2016-11-01,13,70
2016-12-01,14,75
2017-01-01,14,78
