date,media sonar
2011-01-01,58
2011-02-01,61
2011-03-01,60
2011-04-01,50
2011-05-01,66
2011-06-01,68
2011-07-01,50
2011-08-01,58
2011-09-01,79
2011-10-01,100
2011-11-01,91
2011-12-01,55
2012-01-01,57
2012-02-01,77
2012-03-01,79
2012-04-01,98
2012-05-01,81
2012-06-01,69
2012-07-01,97
2012-08-01,72
2012-09-01,84
2012-10-01,69
2012-11-01,78
2012-12-01,67
2013-01-01,56
2013-02-01,71
2013-03-01,74
2013-04-01,66
2013-05-01,87
2013-06-01,75
2013-07-01,66
2013-08-01,97
2013-09-01,91
2013-10-01,87
2013-11-01,96
2013-12-01,88
2014-01-01,99
2014-02-01,89
2014-03-01,94
2014-04-01,86
2014-05-01,78
2014-06-01,76
2014-07-01,63
2014-08-01,99
2014-09-01,60
2014-10-01,65
2014-11-01,73
2014-12-01,60
2015-01-01,64
2015-02-01,63
2015-03-01,54
2015-04-01,62
2015-05-01,57
2015-06-01,56
2015-07-01,54
2015-08-01,52
2015-09-01,47
2015-10-01,51
2015-11-01,45
2015-12-01,71
2016-01-01,69
2016-02-01,62
2016-03-01,48
2016-04-01,43
2016-05-01,55
2016-06-01,48
2016-07-01,58
2016-08-01,41
2016-09-01,52
2016-10-01,57
2016-11-01,63
2016-12-01,53
2017-01-01,63
