date,Encrypting emails
2011-01-01,37
2011-02-01,51
2011-03-01,69
2011-04-01,62
2011-05-01,58
2011-06-01,96
2011-07-01,36
2011-08-01,67
2011-09-01,44
2011-10-01,62
2011-11-01,62
2011-12-01,31
2012-01-01,47
2012-02-01,39
2012-03-01,46
2012-04-01,58
2012-05-01,72
2012-06-01,46
2012-07-01,55
2012-08-01,27
2012-09-01,45
2012-10-01,65
2012-11-01,33
2012-12-01,17
2013-01-01,53
2013-02-01,100
2013-03-01,81
2013-04-01,60
2013-05-01,65
2013-06-01,60
2013-07-01,51
2013-08-01,51
2013-09-01,57
2013-10-01,41
2013-11-01,48
2013-12-01,35
2014-01-01,52
2014-02-01,35
2014-03-01,70
2014-04-01,33
2014-05-01,67
2014-06-01,22
2014-07-01,36
2014-08-01,50
2014-09-01,34
2014-10-01,65
2014-11-01,27
2014-12-01,40
2015-01-01,37
2015-02-01,40
2015-03-01,79
2015-04-01,25
2015-05-01,61
2015-06-01,37
2015-07-01,31
2015-08-01,54
2015-09-01,71
2015-10-01,39
2015-11-01,70
2015-12-01,58
2016-01-01,50
2016-02-01,60
2016-03-01,36
2016-04-01,59
2016-05-01,31
2016-06-01,54
2016-07-01,65
2016-08-01,79
2016-09-01,47
2016-10-01,45
2016-11-01,40
2016-12-01,20
2017-01-01,38
