date,Encryption programs
2011-01-01,70
2011-02-01,74
2011-03-01,88
2011-04-01,100
2011-05-01,67
2011-06-01,66
2011-07-01,57
2011-08-01,58
2011-09-01,44
2011-10-01,69
2011-11-01,67
2011-12-01,63
2012-01-01,50
2012-02-01,58
2012-03-01,72
2012-04-01,78
2012-05-01,53
2012-06-01,64
2012-07-01,54
2012-08-01,63
2012-09-01,50
2012-10-01,65
2012-11-01,64
2012-12-01,52
2013-01-01,39
2013-02-01,60
2013-03-01,38
2013-04-01,62
2013-05-01,46
2013-06-01,47
2013-07-01,48
2013-08-01,49
2013-09-01,55
2013-10-01,58
2013-11-01,73
2013-12-01,41
2014-01-01,47
2014-02-01,63
2014-03-01,73
2014-04-01,55
2014-05-01,40
2014-06-01,55
2014-07-01,47
2014-08-01,48
2014-09-01,60
2014-10-01,72
2014-11-01,42
2014-12-01,58
2015-01-01,57
2015-02-01,74
2015-03-01,49
2015-04-01,62
2015-05-01,43
2015-06-01,47
2015-07-01,50
2015-08-01,52
2015-09-01,50
2015-10-01,61
2015-11-01,59
2015-12-01,55
2016-01-01,43
2016-02-01,52
2016-03-01,48
2016-04-01,60
2016-05-01,42
2016-06-01,28
2016-07-01,40
2016-08-01,51
2016-09-01,36
2016-10-01,47
2016-11-01,59
2016-12-01,52
2017-01-01,47
