Date,facebook fast delete messages
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,19.0
2011-09-01,17.0
2011-10-01,17.0
2011-11-01,25.0
2011-12-01,34.0
2012-01-01,16.0
2012-02-01,16.0
2012-03-01,16.0
2012-04-01,16.0
2012-05-01,62.0
2012-06-01,16.0
2012-07-01,31.0
2012-08-01,30.0
2012-09-01,46.0
2012-10-01,41.0
2012-11-01,85.0
2012-12-01,84.0
2013-01-01,39.0
2013-02-01,69.0
2013-03-01,51.0
2013-04-01,13.0
2013-05-01,13.0
2013-06-01,27.0
2013-07-01,26.0
2013-08-01,26.0
2013-09-01,39.0
2013-10-01,49.0
2013-11-01,38.0
2013-12-01,38.0
2014-01-01,24.0
2014-02-01,52.0
2014-03-01,12.0
2014-04-01,25.0
2014-05-01,15.0
2014-06-01,15.0
2014-07-01,28.0
2014-08-01,57.0
2014-09-01,13.0
2014-10-01,13.0
2014-11-01,14.0
2014-12-01,27.0
2015-01-01,14.0
2015-02-01,14.0
2015-03-01,14.0
2015-04-01,14.0
2015-05-01,28.0
2015-06-01,28.0
2015-07-01,28.0
2015-08-01,56.0
2015-09-01,82.0
2015-10-01,76.0
2015-11-01,53.0
2015-12-01,52.0
2016-01-01,37.0
2016-02-01,100.0
2016-03-01,47.0
2016-04-01,25.0
2016-05-01,37.0
2016-06-01,41.0
