date,how to reactivate instagram account
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,3
2011-09-01,3
2011-10-01,3
2011-11-01,3
2011-12-01,3
2012-01-01,2
2012-02-01,3
2012-03-01,2
2012-04-01,12
2012-05-01,11
2012-06-01,4
2012-07-01,5
2012-08-01,9
2012-09-01,15
2012-10-01,8
2012-11-01,8
2012-12-01,16
2013-01-01,30
2013-02-01,11
2013-03-01,17
2013-04-01,29
2013-05-01,38
2013-06-01,22
2013-07-01,18
2013-08-01,22
2013-09-01,24
2013-10-01,25
2013-11-01,8
2013-12-01,17
2014-01-01,17
2014-02-01,30
2014-03-01,29
2014-04-01,19
2014-05-01,18
2014-06-01,28
2014-07-01,26
2014-08-01,17
2014-09-01,9
2014-10-01,12
2014-11-01,14
2014-12-01,21
2015-01-01,25
2015-02-01,23
2015-03-01,16
2015-04-01,18
2015-05-01,22
2015-06-01,34
2015-07-01,30
2015-08-01,40
2015-09-01,67
2015-10-01,41
2015-11-01,32
2015-12-01,41
2016-01-01,55
2016-02-01,79
2016-03-01,58
2016-04-01,45
2016-05-01,47
2016-06-01,69
2016-07-01,96
2016-08-01,61
2016-09-01,45
2016-10-01,52
2016-11-01,94
2016-12-01,100
2017-01-01,93
