date,how to delete instagram account on phone
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,4
2012-01-01,6
2012-02-01,8
2012-03-01,10
2012-04-01,11
2012-05-01,4
2012-06-01,4
2012-07-01,4
2012-08-01,4
2012-09-01,7
2012-10-01,6
2012-11-01,10
2012-12-01,10
2013-01-01,15
2013-02-01,16
2013-03-01,13
2013-04-01,12
2013-05-01,15
2013-06-01,11
2013-07-01,20
2013-08-01,24
2013-09-01,12
2013-10-01,10
2013-11-01,9
2013-12-01,22
2014-01-01,14
2014-02-01,18
2014-03-01,16
2014-04-01,13
2014-05-01,6
2014-06-01,18
2014-07-01,10
2014-08-01,12
2014-09-01,14
2014-10-01,15
2014-11-01,18
2014-12-01,22
2015-01-01,25
2015-02-01,24
2015-03-01,29
2015-04-01,31
2015-05-01,25
2015-06-01,47
2015-07-01,47
2015-08-01,36
2015-09-01,33
2015-10-01,40
2015-11-01,53
2015-12-01,100
2016-01-01,68
2016-02-01,27
2016-03-01,37
2016-04-01,25
2016-05-01,42
2016-06-01,60
2016-07-01,42
2016-08-01,30
2016-09-01,29
2016-10-01,27
2016-11-01,39
2016-12-01,38
2017-01-01,58
