date,Gmail encryption
2011-01-01,42
2011-02-01,49
2011-03-01,49
2011-04-01,50
2011-05-01,45
2011-06-01,43
2011-07-01,50
2011-08-01,44
2011-09-01,47
2011-10-01,53
2011-11-01,50
2011-12-01,41
2012-01-01,36
2012-02-01,51
2012-03-01,43
2012-04-01,46
2012-05-01,43
2012-06-01,38
2012-07-01,43
2012-08-01,44
2012-09-01,38
2012-10-01,42
2012-11-01,43
2012-12-01,38
2013-01-01,47
2013-02-01,57
2013-03-01,48
2013-04-01,46
2013-05-01,61
2013-06-01,100
2013-07-01,77
2013-08-01,72
2013-09-01,58
2013-10-01,59
2013-11-01,60
2013-12-01,43
2014-01-01,57
2014-02-01,60
2014-03-01,70
2014-04-01,65
2014-05-01,53
2014-06-01,89
2014-07-01,60
2014-08-01,62
2014-09-01,67
2014-10-01,62
2014-11-01,54
2014-12-01,60
2015-01-01,63
2015-02-01,73
2015-03-01,70
2015-04-01,58
2015-05-01,52
2015-06-01,52
2015-07-01,63
2015-08-01,57
2015-09-01,59
2015-10-01,60
2015-11-01,66
2015-12-01,61
2016-01-01,63
2016-02-01,94
2016-03-01,91
2016-04-01,95
2016-05-01,57
2016-06-01,67
2016-07-01,59
2016-08-01,72
2016-09-01,63
2016-10-01,68
2016-11-01,67
2016-12-01,55
2017-01-01,71
