date,twitter privacy
2011-01-01,28
2011-02-01,36
2011-03-01,38
2011-04-01,44
2011-05-01,87
2011-06-01,57
2011-07-01,49
2011-08-01,62
2011-09-01,59
2011-10-01,63
2011-11-01,67
2011-12-01,64
2012-01-01,62
2012-02-01,78
2012-03-01,64
2012-04-01,61
2012-05-01,62
2012-06-01,62
2012-07-01,63
2012-08-01,58
2012-09-01,92
2012-10-01,100
2012-11-01,84
2012-12-01,98
2013-01-01,100
2013-02-01,90
2013-03-01,81
2013-04-01,90
2013-05-01,76
2013-06-01,85
2013-07-01,76
2013-08-01,74
2013-09-01,73
2013-10-01,68
2013-11-01,67
2013-12-01,67
2014-01-01,65
2014-02-01,70
2014-03-01,73
2014-04-01,69
2014-05-01,65
2014-06-01,59
2014-07-01,65
2014-08-01,66
2014-09-01,60
2014-10-01,64
2014-11-01,68
2014-12-01,63
2015-01-01,62
2015-02-01,51
2015-03-01,49
2015-04-01,45
2015-05-01,35
2015-06-01,42
2015-07-01,40
2015-08-01,40
2015-09-01,48
2015-10-01,47
2015-11-01,48
2015-12-01,35
2016-01-01,37
2016-02-01,42
2016-03-01,37
2016-04-01,39
2016-05-01,28
2016-06-01,30
2016-07-01,39
2016-08-01,31
2016-09-01,33
2016-10-01,34
2016-11-01,35
2016-12-01,30
2017-01-01,38
