date,twitter privacy settings
2011-01-01,13
2011-02-01,10
2011-03-01,9
2011-04-01,21
2011-05-01,29
2011-06-01,29
2011-07-01,29
2011-08-01,44
2011-09-01,26
2011-10-01,23
2011-11-01,48
2011-12-01,47
2012-01-01,39
2012-02-01,45
2012-03-01,45
2012-04-01,35
2012-05-01,36
2012-06-01,38
2012-07-01,46
2012-08-01,50
2012-09-01,82
2012-10-01,100
2012-11-01,92
2012-12-01,89
2013-01-01,67
2013-02-01,86
2013-03-01,60
2013-04-01,61
2013-05-01,54
2013-06-01,57
2013-07-01,77
2013-08-01,52
2013-09-01,63
2013-10-01,43
2013-11-01,50
2013-12-01,46
2014-01-01,50
2014-02-01,52
2014-03-01,50
2014-04-01,38
2014-05-01,38
2014-06-01,38
2014-07-01,54
2014-08-01,48
2014-09-01,38
2014-10-01,39
2014-11-01,49
2014-12-01,40
2015-01-01,30
2015-02-01,26
2015-03-01,26
2015-04-01,19
2015-05-01,25
2015-06-01,28
2015-07-01,22
2015-08-01,23
2015-09-01,22
2015-10-01,16
2015-11-01,19
2015-12-01,17
2016-01-01,16
2016-02-01,18
2016-03-01,16
2016-04-01,16
2016-05-01,12
2016-06-01,9
2016-07-01,10
2016-08-01,8
2016-09-01,10
2016-10-01,8
2016-11-01,7
2016-12-01,8
2017-01-01,12
