date,how to view protected tweets without following
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,33
2011-07-01,42
2011-08-01,51
2011-09-01,60
2011-10-01,57
2011-11-01,57
2011-12-01,28
2012-01-01,26
2012-02-01,27
2012-03-01,25
2012-04-01,53
2012-05-01,49
2012-06-01,51
2012-07-01,51
2012-08-01,38
2012-09-01,100
2012-10-01,23
2012-11-01,23
2012-12-01,69
2013-01-01,83
2013-02-01,46
2013-03-01,20
2013-04-01,42
2013-05-01,50
2013-06-01,42
2013-07-01,20
2013-08-01,20
2013-09-01,79
2013-10-01,57
2013-11-01,38
2013-12-01,19
2014-01-01,29
2014-02-01,39
2014-03-01,35
2014-04-01,18
2014-05-01,28
2014-06-01,31
2014-07-01,20
2014-08-01,20
2014-09-01,29
2014-10-01,18
2014-11-01,19
2014-12-01,37
2015-01-01,17
2015-02-01,46
2015-03-01,51
2015-04-01,51
2015-05-01,17
2015-06-01,17
2015-07-01,25
2015-08-01,25
2015-09-01,16
2015-10-01,31
2015-11-01,16
2015-12-01,19
2016-01-01,23
2016-02-01,30
2016-03-01,14
2016-04-01,15
2016-05-01,17
2016-06-01,20
2016-07-01,22
2016-08-01,22
2016-09-01,14
2016-10-01,41
2016-11-01,28
2016-12-01,14
2017-01-01,20
