date,How to change privacy settings on twitter
2011-01-01,0
2011-02-01,11
2011-03-01,0
2011-04-01,10
2011-05-01,10
2011-06-01,15
2011-07-01,10
2011-08-01,14
2011-09-01,9
2011-10-01,0
2011-11-01,22
2011-12-01,17
2012-01-01,16
2012-02-01,21
2012-03-01,46
2012-04-01,16
2012-05-01,30
2012-06-01,19
2012-07-01,31
2012-08-01,31
2012-09-01,61
2012-10-01,100
2012-11-01,59
2012-12-01,66
2013-01-01,50
2013-02-01,45
2013-03-01,34
2013-04-01,44
2013-05-01,49
2013-06-01,38
2013-07-01,49
2013-08-01,40
2013-09-01,33
2013-10-01,34
2013-11-01,23
2013-12-01,38
2014-01-01,38
2014-02-01,47
2014-03-01,29
2014-04-01,11
2014-05-01,28
2014-06-01,12
2014-07-01,33
2014-08-01,36
2014-09-01,29
2014-10-01,22
2014-11-01,14
2014-12-01,25
2015-01-01,18
2015-02-01,17
2015-03-01,20
2015-04-01,11
2015-05-01,15
2015-06-01,8
2015-07-01,8
2015-08-01,13
2015-09-01,5
2015-10-01,9
2015-11-01,12
2015-12-01,10
2016-01-01,7
2016-02-01,7
2016-03-01,4
2016-04-01,0
2016-05-01,4
2016-06-01,0
2016-07-01,9
2016-08-01,0
2016-09-01,4
2016-10-01,4
2016-11-01,6
2016-12-01,4
2017-01-01,4
