date,overall index trend
1/1/11,47
2/1/11,45
3/1/11,44
4/1/11,46
5/1/11,49
6/1/11,53
7/1/11,58
8/1/11,61
9/1/11,59
10/1/11,58
11/1/11,59
12/1/11,62
1/1/12,64
2/1/12,62
3/1/12,61
4/1/12,61
5/1/12,61
6/1/12,65
7/1/12,66
8/1/12,69
9/1/12,66
10/1/12,64
11/1/12,62
12/1/12,70
1/1/13,69
2/1/13,69
3/1/13,67
4/1/13,67
5/1/13,66
6/1/13,70
7/1/13,73
8/1/13,72
9/1/13,68
10/1/13,68
11/1/13,68
12/1/13,73
1/1/14,77
2/1/14,73
3/1/14,73
4/1/14,74
5/1/14,74
6/1/14,75
7/1/14,78
8/1/14,80
9/1/14,78
10/1/14,72
11/1/14,72
12/1/14,76
1/1/15,79
2/1/15,74
3/1/15,73
4/1/15,74
5/1/15,73
6/1/15,77
7/1/15,83
8/1/15,84
9/1/15,82
10/1/15,76
11/1/15,75
12/1/15,80
1/1/16,83
2/1/16,80
3/1/16,79
4/1/16,83
5/1/16,84
6/1/16,91
7/1/16,98
8/1/16,93
9/1/16,90
10/1/16,92
11/1/16,94
12/1/16,97
1/1/17,100
