date,private browsing safari iphone
2011-01-01,9
2011-02-01,19
2011-03-01,13
2011-04-01,20
2011-05-01,14
2011-06-01,9
2011-07-01,17
2011-08-01,21
2011-09-01,7
2011-10-01,67
2011-11-01,34
2011-12-01,46
2012-01-01,53
2012-02-01,63
2012-03-01,40
2012-04-01,34
2012-05-01,36
2012-06-01,38
2012-07-01,35
2012-08-01,32
2012-09-01,41
2012-10-01,37
2012-11-01,41
2012-12-01,37
2013-01-01,42
2013-02-01,42
2013-03-01,32
2013-04-01,30
2013-05-01,39
2013-06-01,40
2013-07-01,42
2013-08-01,31
2013-09-01,100
2013-10-01,83
2013-11-01,61
2013-12-01,66
2014-01-01,57
2014-02-01,69
2014-03-01,57
2014-04-01,57
2014-05-01,56
2014-06-01,60
2014-07-01,57
2014-08-01,60
2014-09-01,52
2014-10-01,56
2014-11-01,50
2014-12-01,50
2015-01-01,39
2015-02-01,30
2015-03-01,38
2015-04-01,40
2015-05-01,35
2015-06-01,42
2015-07-01,31
2015-08-01,39
2015-09-01,44
2015-10-01,43
2015-11-01,39
2015-12-01,46
2016-01-01,42
2016-02-01,35
2016-03-01,35
2016-04-01,39
2016-05-01,44
2016-06-01,28
2016-07-01,36
2016-08-01,35
2016-09-01,38
2016-10-01,43
2016-11-01,40
2016-12-01,44
2017-01-01,35
