date,incognito safari
2011-01-01,12
2011-02-01,9
2011-03-01,16
2011-04-01,13
2011-05-01,11
2011-06-01,13
2011-07-01,24
2011-08-01,19
2011-09-01,19
2011-10-01,22
2011-11-01,23
2011-12-01,23
2012-01-01,22
2012-02-01,23
2012-03-01,22
2012-04-01,25
2012-05-01,24
2012-06-01,25
2012-07-01,34
2012-08-01,41
2012-09-01,45
2012-10-01,36
2012-11-01,39
2012-12-01,47
2013-01-01,42
2013-02-01,38
2013-03-01,45
2013-04-01,49
2013-05-01,53
2013-06-01,63
2013-07-01,78
2013-08-01,65
2013-09-01,77
2013-10-01,66
2013-11-01,64
2013-12-01,74
2014-01-01,64
2014-02-01,63
2014-03-01,64
2014-04-01,66
2014-05-01,66
2014-06-01,73
2014-07-01,87
2014-08-01,95
2014-09-01,98
2014-10-01,100
2014-11-01,92
2014-12-01,86
2015-01-01,72
2015-02-01,70
2015-03-01,72
2015-04-01,75
2015-05-01,72
2015-06-01,70
2015-07-01,78
2015-08-01,77
2015-09-01,76
2015-10-01,70
2015-11-01,65
2015-12-01,74
2016-01-01,66
2016-02-01,66
2016-03-01,72
2016-04-01,74
2016-05-01,70
2016-06-01,69
2016-07-01,70
2016-08-01,72
2016-09-01,76
2016-10-01,72
2016-11-01,73
2016-12-01,74
2017-01-01,70
