date,incognito google
2011-01-01,27
2011-02-01,28
2011-03-01,30
2011-04-01,27
2011-05-01,30
2011-06-01,37
2011-07-01,37
2011-08-01,41
2011-09-01,32
2011-10-01,40
2011-11-01,37
2011-12-01,37
2012-01-01,40
2012-02-01,45
2012-03-01,45
2012-04-01,45
2012-05-01,51
2012-06-01,52
2012-07-01,55
2012-08-01,61
2012-09-01,54
2012-10-01,55
2012-11-01,50
2012-12-01,54
2013-01-01,55
2013-02-01,54
2013-03-01,53
2013-04-01,67
2013-05-01,61
2013-06-01,64
2013-07-01,66
2013-08-01,70
2013-09-01,68
2013-10-01,65
2013-11-01,100
2013-12-01,69
2014-01-01,75
2014-02-01,83
2014-03-01,67
2014-04-01,67
2014-05-01,61
2014-06-01,66
2014-07-01,67
2014-08-01,68
2014-09-01,70
2014-10-01,71
2014-11-01,64
2014-12-01,68
2015-01-01,78
2015-02-01,67
2015-03-01,61
2015-04-01,65
2015-05-01,67
2015-06-01,63
2015-07-01,65
2015-08-01,70
2015-09-01,73
2015-10-01,71
2015-11-01,63
2015-12-01,70
2016-01-01,69
2016-02-01,68
2016-03-01,68
2016-04-01,68
2016-05-01,73
2016-06-01,70
2016-07-01,69
2016-08-01,72
2016-09-01,86
2016-10-01,80
2016-11-01,80
2016-12-01,88
2017-01-01,85
