date,tor browser android apk
2011-01-01,0
2011-02-01,15
2011-03-01,13
2011-04-01,13
2011-05-01,13
2011-06-01,12
2011-07-01,12
2011-08-01,12
2011-09-01,12
2011-10-01,12
2011-11-01,12
2011-12-01,12
2012-01-01,11
2012-02-01,11
2012-03-01,11
2012-04-01,11
2012-05-01,20
2012-06-01,11
2012-07-01,10
2012-08-01,10
2012-09-01,10
2012-10-01,14
2012-11-01,14
2012-12-01,19
2013-01-01,43
2013-02-01,9
2013-03-01,14
2013-04-01,17
2013-05-01,21
2013-06-01,9
2013-07-01,11
2013-08-01,14
2013-09-01,30
2013-10-01,23
2013-11-01,24
2013-12-01,13
2014-01-01,27
2014-02-01,27
2014-03-01,26
2014-04-01,30
2014-05-01,18
2014-06-01,20
2014-07-01,22
2014-08-01,41
2014-09-01,31
2014-10-01,42
2014-11-01,10
2014-12-01,68
2015-01-01,49
2015-02-01,20
2015-03-01,35
2015-04-01,36
2015-05-01,21
2015-06-01,38
2015-07-01,44
2015-08-01,71
2015-09-01,74
2015-10-01,58
2015-11-01,65
2015-12-01,66
2016-01-01,54
2016-02-01,67
2016-03-01,76
2016-04-01,71
2016-05-01,51
2016-06-01,65
2016-07-01,86
2016-08-01,76
2016-09-01,95
2016-10-01,86
2016-11-01,55
2016-12-01,93
2017-01-01,100
