date,anonymous web proxy
2011-01-01,92
2011-02-01,100
2011-03-01,83
2011-04-01,86
2011-05-01,66
2011-06-01,80
2011-07-01,90
2011-08-01,74
2011-09-01,78
2011-10-01,62
2011-11-01,82
2011-12-01,64
2012-01-01,71
2012-02-01,57
2012-03-01,63
2012-04-01,53
2012-05-01,68
2012-06-01,74
2012-07-01,51
2012-08-01,55
2012-09-01,62
2012-10-01,54
2012-11-01,61
2012-12-01,48
2013-01-01,46
2013-02-01,51
2013-03-01,47
2013-04-01,47
2013-05-01,50
2013-06-01,43
2013-07-01,42
2013-08-01,38
2013-09-01,44
2013-10-01,50
2013-11-01,47
2013-12-01,47
2014-01-01,39
2014-02-01,37
2014-03-01,41
2014-04-01,41
2014-05-01,36
2014-06-01,40
2014-07-01,43
2014-08-01,41
2014-09-01,54
2014-10-01,42
2014-11-01,33
2014-12-01,42
2015-01-01,29
2015-02-01,27
2015-03-01,28
2015-04-01,41
2015-05-01,36
2015-06-01,36
2015-07-01,36
2015-08-01,35
2015-09-01,26
2015-10-01,32
2015-11-01,31
2015-12-01,34
2016-01-01,31
2016-02-01,27
2016-03-01,30
2016-04-01,22
2016-05-01,21
2016-06-01,18
2016-07-01,23
2016-08-01,20
2016-09-01,36
2016-10-01,21
2016-11-01,26
2016-12-01,23
2017-01-01,15
