date,unblock proxy sites list
2011-01-01,27
2011-02-01,26
2011-03-01,35
2011-04-01,49
2011-05-01,28
2011-06-01,15
2011-07-01,36
2011-08-01,14
2011-09-01,26
2011-10-01,17
2011-11-01,38
2011-12-01,19
2012-01-01,27
2012-02-01,14
2012-03-01,36
2012-04-01,33
2012-05-01,25
2012-06-01,23
2012-07-01,26
2012-08-01,26
2012-09-01,35
2012-10-01,47
2012-11-01,54
2012-12-01,45
2013-01-01,36
2013-02-01,35
2013-03-01,22
2013-04-01,47
2013-05-01,50
2013-06-01,23
2013-07-01,15
2013-08-01,39
2013-09-01,28
2013-10-01,33
2013-11-01,53
2013-12-01,56
2014-01-01,67
2014-02-01,83
2014-03-01,60
2014-04-01,100
2014-05-01,76
2014-06-01,61
2014-07-01,46
2014-08-01,68
2014-09-01,64
2014-10-01,44
2014-11-01,38
2014-12-01,43
2015-01-01,34
2015-02-01,38
2015-03-01,57
2015-04-01,48
2015-05-01,38
2015-06-01,34
2015-07-01,29
2015-08-01,48
2015-09-01,35
2015-10-01,19
2015-11-01,25
2015-12-01,43
2016-01-01,49
2016-02-01,34
2016-03-01,22
2016-04-01,45
2016-05-01,24
2016-06-01,14
2016-07-01,44
2016-08-01,42
2016-09-01,37
2016-10-01,33
2016-11-01,36
2016-12-01,36
2017-01-01,49
