date,free anonymous browsing
2011-01-01,58
2011-02-01,63
2011-03-01,100
2011-04-01,58
2011-05-01,32
2011-06-01,52
2011-07-01,48
2011-08-01,60
2011-09-01,84
2011-10-01,75
2011-11-01,59
2011-12-01,47
2012-01-01,48
2012-02-01,42
2012-03-01,33
2012-04-01,25
2012-05-01,30
2012-06-01,32
2012-07-01,30
2012-08-01,40
2012-09-01,42
2012-10-01,25
2012-11-01,46
2012-12-01,28
2013-01-01,30
2013-02-01,29
2013-03-01,28
2013-04-01,23
2013-05-01,19
2013-06-01,23
2013-07-01,19
2013-08-01,20
2013-09-01,26
2013-10-01,20
2013-11-01,22
2013-12-01,20
2014-01-01,20
2014-02-01,16
2014-03-01,18
2014-04-01,19
2014-05-01,17
2014-06-01,29
2014-07-01,17
2014-08-01,14
2014-09-01,13
2014-10-01,14
2014-11-01,17
2014-12-01,13
2015-01-01,10
2015-02-01,13
2015-03-01,12
2015-04-01,12
2015-05-01,13
2015-06-01,10
2015-07-01,10
2015-08-01,13
2015-09-01,13
2015-10-01,9
2015-11-01,16
2015-12-01,15
2016-01-01,12
2016-02-01,13
2016-03-01,9
2016-04-01,8
2016-05-01,13
2016-06-01,11
2016-07-01,15
2016-08-01,13
2016-09-01,10
2016-10-01,13
2016-11-01,8
2016-12-01,9
2017-01-01,9
