date,incognito safari ipad
2011-01-01,9
2011-02-01,9
2011-03-01,21
2011-04-01,18
2011-05-01,17
2011-06-01,23
2011-07-01,40
2011-08-01,16
2011-09-01,26
2011-10-01,27
2011-11-01,15
2011-12-01,32
2012-01-01,32
2012-02-01,24
2012-03-01,47
2012-04-01,67
2012-05-01,28
2012-06-01,47
2012-07-01,44
2012-08-01,40
2012-09-01,35
2012-10-01,44
2012-11-01,44
2012-12-01,56
2013-01-01,67
2013-02-01,64
2013-03-01,100
2013-04-01,67
2013-05-01,93
2013-06-01,85
2013-07-01,100
2013-08-01,86
2013-09-01,92
2013-10-01,80
2013-11-01,90
2013-12-01,91
2014-01-01,78
2014-02-01,72
2014-03-01,75
2014-04-01,64
2014-05-01,80
2014-06-01,75
2014-07-01,74
2014-08-01,83
2014-09-01,78
2014-10-01,71
2014-11-01,55
2014-12-01,80
2015-01-01,99
2015-02-01,95
2015-03-01,72
2015-04-01,71
2015-05-01,82
2015-06-01,76
2015-07-01,71
2015-08-01,62
2015-09-01,64
2015-10-01,54
2015-11-01,51
2015-12-01,48
2016-01-01,48
2016-02-01,36
2016-03-01,38
2016-04-01,46
2016-05-01,39
2016-06-01,41
2016-07-01,41
2016-08-01,43
2016-09-01,34
2016-10-01,50
2016-11-01,32
2016-12-01,29
2017-01-01,38
