date,how to encrypt text messages,best private messaging app
2011-01-01,67,0
2011-02-01,35,0
2011-03-01,0,0
2011-04-01,34,0
2011-05-01,32,0
2011-06-01,0,0
2011-07-01,65,33
2011-08-01,92,0
2011-09-01,60,30
2011-10-01,57,0
2011-11-01,85,0
2011-12-01,56,0
2012-01-01,26,0
2012-02-01,54,27
2012-03-01,25,0
2012-04-01,35,27
2012-05-01,25,25
2012-06-01,51,0
2012-07-01,25,0
2012-08-01,0,0
2012-09-01,50,25
2012-10-01,30,34
2012-11-01,23,23
2012-12-01,23,23
2013-01-01,27,61
2013-02-01,53,23
2013-03-01,27,41
2013-04-01,55,21
2013-05-01,20,20
2013-06-01,41,41
2013-07-01,40,30
2013-08-01,30,20
2013-09-01,19,29
2013-10-01,38,28
2013-11-01,44,19
2013-12-01,51,19
2014-01-01,24,18
2014-02-01,58,19
2014-03-01,29,35
2014-04-01,36,36
2014-05-01,36,27
2014-06-01,41,41
2014-07-01,59,85
2014-08-01,29,72
2014-09-01,38,57
2014-10-01,72,36
2014-11-01,43,55
2014-12-01,45,60
2015-01-01,34,45
2015-02-01,55,37
2015-03-01,61,55
2015-04-01,52,17
2015-05-01,45,50
2015-06-01,34,45
2015-07-01,59,45
2015-08-01,28,72
2015-09-01,59,38
2015-10-01,41,67
2015-11-01,37,47
2015-12-01,48,43
2016-01-01,81,66
2016-02-01,25,45
2016-03-01,42,61
2016-04-01,39,37
2016-05-01,47,99
2016-06-01,39,49
2016-07-01,29,59
2016-08-01,48,91
2016-09-01,57,43
2016-10-01,77,27
2016-11-01,69,59
2016-12-01,100,55
2017-01-01,52,60
