date,Encrypt Text,best private messaging app
2011-01-01,67,0
2011-02-01,66,0
2011-03-01,76,0
2011-04-01,77,0
2011-05-01,81,0
2011-06-01,96,0
2011-07-01,79,2
2011-08-01,68,0
2011-09-01,79,2
2011-10-01,70,0
2011-11-01,77,0
2011-12-01,70,0
2012-01-01,71,0
2012-02-01,75,2
2012-03-01,66,0
2012-04-01,76,2
2012-05-01,66,2
2012-06-01,61,0
2012-07-01,65,0
2012-08-01,67,0
2012-09-01,64,2
2012-10-01,69,2
2012-11-01,74,2
2012-12-01,69,2
2013-01-01,70,4
2013-02-01,87,2
2013-03-01,74,3
2013-04-01,87,1
2013-05-01,67,1
2013-06-01,81,3
2013-07-01,71,2
2013-08-01,83,1
2013-09-01,79,2
2013-10-01,80,2
2013-11-01,97,1
2013-12-01,86,1
2014-01-01,95,1
2014-02-01,100,1
2014-03-01,94,3
2014-04-01,90,3
2014-05-01,86,2
2014-06-01,79,3
2014-07-01,72,6
2014-08-01,79,5
2014-09-01,88,4
2014-10-01,98,3
2014-11-01,88,4
2014-12-01,76,4
2015-01-01,77,3
2015-02-01,84,3
2015-03-01,86,4
2015-04-01,88,1
2015-05-01,87,4
2015-06-01,74,3
2015-07-01,72,3
2015-08-01,80,5
2015-09-01,89,3
2015-10-01,93,5
2015-11-01,88,3
2015-12-01,73,3
2016-01-01,87,5
2016-02-01,88,3
2016-03-01,80,4
2016-04-01,98,3
2016-05-01,78,7
2016-06-01,78,4
2016-07-01,71,4
2016-08-01,83,7
2016-09-01,81,3
2016-10-01,89,2
2016-11-01,98,4
2016-12-01,74,4
2017-01-01,89,4
