date,dxtory
2011-01-01,8
2011-02-01,10
2011-03-01,9
2011-04-01,8
2011-05-01,10
2011-06-01,12
2011-07-01,14
2011-08-01,14
2011-09-01,17
2011-10-01,22
2011-11-01,27
2011-12-01,32
2012-01-01,37
2012-02-01,43
2012-03-01,46
2012-04-01,62
2012-05-01,61
2012-06-01,69
2012-07-01,83
2012-08-01,92
2012-09-01,84
2012-10-01,79
2012-11-01,77
2012-12-01,86
2013-01-01,94
2013-02-01,100
2013-03-01,93
2013-04-01,87
2013-05-01,84
2013-06-01,92
2013-07-01,97
2013-08-01,92
2013-09-01,78
2013-10-01,75
2013-11-01,90
2013-12-01,89
2014-01-01,90
2014-02-01,83
2014-03-01,76
2014-04-01,73
2014-05-01,76
2014-06-01,75
2014-07-01,76
2014-08-01,74
2014-09-01,62
2014-10-01,57
2014-11-01,62
2014-12-01,64
2015-01-01,70
2015-02-01,64
2015-03-01,55
2015-04-01,55
2015-05-01,53
2015-06-01,51
2015-07-01,56
2015-08-01,54
2015-09-01,42
2015-10-01,39
2015-11-01,39
2015-12-01,42
2016-01-01,47
2016-02-01,41
2016-03-01,37
2016-04-01,37
2016-05-01,33
2016-06-01,33
2016-07-01,35
2016-08-01,31
2016-09-01,26
2016-10-01,24
2016-11-01,21
2016-12-01,23
2017-01-01,22
