date,evaer skype video recorder
2011-01-01,9
2011-02-01,18
2011-03-01,14
2011-04-01,13
2011-05-01,21
2011-06-01,29
2011-07-01,45
2011-08-01,31
2011-09-01,36
2011-10-01,73
2011-11-01,66
2011-12-01,63
2012-01-01,67
2012-02-01,65
2012-03-01,66
2012-04-01,86
2012-05-01,68
2012-06-01,69
2012-07-01,78
2012-08-01,97
2012-09-01,93
2012-10-01,85
2012-11-01,83
2012-12-01,85
2013-01-01,89
2013-02-01,95
2013-03-01,80
2013-04-01,72
2013-05-01,59
2013-06-01,61
2013-07-01,59
2013-08-01,64
2013-09-01,89
2013-10-01,67
2013-11-01,77
2013-12-01,69
2014-01-01,78
2014-02-01,49
2014-03-01,73
2014-04-01,51
2014-05-01,57
2014-06-01,68
2014-07-01,100
2014-08-01,77
2014-09-01,51
2014-10-01,50
2014-11-01,60
2014-12-01,84
2015-01-01,45
2015-02-01,46
2015-03-01,53
2015-04-01,50
2015-05-01,54
2015-06-01,43
2015-07-01,43
2015-08-01,38
2015-09-01,40
2015-10-01,48
2015-11-01,35
2015-12-01,33
2016-01-01,38
2016-02-01,25
2016-03-01,32
2016-04-01,33
2016-05-01,31
2016-06-01,24
2016-07-01,20
2016-08-01,33
2016-09-01,30
2016-10-01,24
2016-11-01,26
2016-12-01,14
2017-01-01,15
