date,record skype video free
2011-01-01,50
2011-02-01,65
2011-03-01,48
2011-04-01,50
2011-05-01,61
2011-06-01,63
2011-07-01,83
2011-08-01,74
2011-09-01,78
2011-10-01,75
2011-11-01,78
2011-12-01,74
2012-01-01,86
2012-02-01,85
2012-03-01,75
2012-04-01,78
2012-05-01,82
2012-06-01,71
2012-07-01,78
2012-08-01,80
2012-09-01,100
2012-10-01,76
2012-11-01,67
2012-12-01,83
2013-01-01,67
2013-02-01,69
2013-03-01,62
2013-04-01,54
2013-05-01,61
2013-06-01,61
2013-07-01,54
2013-08-01,69
2013-09-01,51
2013-10-01,44
2013-11-01,48
2013-12-01,56
2014-01-01,41
2014-02-01,42
2014-03-01,44
2014-04-01,38
2014-05-01,36
2014-06-01,45
2014-07-01,38
2014-08-01,50
2014-09-01,40
2014-10-01,44
2014-11-01,38
2014-12-01,39
2015-01-01,41
2015-02-01,39
2015-03-01,45
2015-04-01,43
2015-05-01,39
2015-06-01,48
2015-07-01,40
2015-08-01,40
2015-09-01,37
2015-10-01,39
2015-11-01,35
2015-12-01,35
2016-01-01,27
2016-02-01,30
2016-03-01,29
2016-04-01,29
2016-05-01,27
2016-06-01,26
2016-07-01,36
2016-08-01,26
2016-09-01,28
2016-10-01,23
2016-11-01,22
2016-12-01,24
2017-01-01,27
