date,dxtory crack
2011-01-01,3
2011-02-01,11
2011-03-01,8
2011-04-01,7
2011-05-01,9
2011-06-01,6
2011-07-01,11
2011-08-01,11
2011-09-01,7
2011-10-01,15
2011-11-01,16
2011-12-01,21
2012-01-01,23
2012-02-01,32
2012-03-01,37
2012-04-01,54
2012-05-01,46
2012-06-01,82
2012-07-01,75
2012-08-01,91
2012-09-01,78
2012-10-01,76
2012-11-01,84
2012-12-01,79
2013-01-01,89
2013-02-01,100
2013-03-01,88
2013-04-01,86
2013-05-01,74
2013-06-01,81
2013-07-01,75
2013-08-01,64
2013-09-01,61
2013-10-01,62
2013-11-01,65
2013-12-01,76
2014-01-01,68
2014-02-01,76
2014-03-01,63
2014-04-01,62
2014-05-01,54
2014-06-01,55
2014-07-01,61
2014-08-01,57
2014-09-01,42
2014-10-01,46
2014-11-01,51
2014-12-01,47
2015-01-01,61
2015-02-01,42
2015-03-01,51
2015-04-01,37
2015-05-01,47
2015-06-01,37
2015-07-01,57
2015-08-01,53
2015-09-01,37
2015-10-01,41
2015-11-01,32
2015-12-01,34
2016-01-01,42
2016-02-01,34
2016-03-01,27
2016-04-01,29
2016-05-01,29
2016-06-01,28
2016-07-01,30
2016-08-01,22
2016-09-01,22
2016-10-01,24
2016-11-01,21
2016-12-01,21
2017-01-01,18
