date,instagram private account viewer
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,6
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,5
2012-08-01,7
2012-09-01,8
2012-10-01,5
2012-11-01,7
2012-12-01,5
2013-01-01,9
2013-02-01,12
2013-03-01,13
2013-04-01,9
2013-05-01,17
2013-06-01,12
2013-07-01,13
2013-08-01,20
2013-09-01,14
2013-10-01,11
2013-11-01,27
2013-12-01,24
2014-01-01,30
2014-02-01,36
2014-03-01,43
2014-04-01,55
2014-05-01,48
2014-06-01,49
2014-07-01,57
2014-08-01,43
2014-09-01,35
2014-10-01,22
2014-11-01,39
2014-12-01,32
2015-01-01,33
2015-02-01,40
2015-03-01,39
2015-04-01,62
2015-05-01,55
2015-06-01,44
2015-07-01,50
2015-08-01,47
2015-09-01,37
2015-10-01,50
2015-11-01,40
2015-12-01,54
2016-01-01,74
2016-02-01,67
2016-03-01,67
2016-04-01,77
2016-05-01,98
2016-06-01,97
2016-07-01,99
2016-08-01,100
2016-09-01,87
2016-10-01,93
2016-11-01,91
2016-12-01,78
2017-01-01,87
