date,hack private instagram
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,2
2011-06-01,3
2011-07-01,2
2011-08-01,2
2011-09-01,2
2011-10-01,2
2011-11-01,2
2011-12-01,2
2012-01-01,3
2012-02-01,3
2012-03-01,4
2012-04-01,13
2012-05-01,9
2012-06-01,14
2012-07-01,19
2012-08-01,27
2012-09-01,23
2012-10-01,22
2012-11-01,29
2012-12-01,31
2013-01-01,33
2013-02-01,33
2013-03-01,42
2013-04-01,54
2013-05-01,52
2013-06-01,53
2013-07-01,73
2013-08-01,67
2013-09-01,66
2013-10-01,54
2013-11-01,58
2013-12-01,66
2014-01-01,72
2014-02-01,73
2014-03-01,80
2014-04-01,79
2014-05-01,84
2014-06-01,68
2014-07-01,66
2014-08-01,70
2014-09-01,56
2014-10-01,54
2014-11-01,66
2014-12-01,69
2015-01-01,74
2015-02-01,77
2015-03-01,75
2015-04-01,79
2015-05-01,84
2015-06-01,83
2015-07-01,90
2015-08-01,85
2015-09-01,75
2015-10-01,71
2015-11-01,77
2015-12-01,79
2016-01-01,74
2016-02-01,65
2016-03-01,82
2016-04-01,78
2016-05-01,86
2016-06-01,89
2016-07-01,90
2016-08-01,100
2016-09-01,95
2016-10-01,96
2016-11-01,81
2016-12-01,90
2017-01-01,98
