date,Instagram settings
2011-01-01,2
2011-02-01,1
2011-03-01,1
2011-04-01,1
2011-05-01,1
2011-06-01,2
2011-07-01,3
2011-08-01,2
2011-09-01,2
2011-10-01,3
2011-11-01,3
2011-12-01,6
2012-01-01,8
2012-02-01,7
2012-03-01,8
2012-04-01,32
2012-05-01,27
2012-06-01,26
2012-07-01,32
2012-08-01,32
2012-09-01,93
2012-10-01,91
2012-11-01,80
2012-12-01,100
2013-01-01,68
2013-02-01,66
2013-03-01,68
2013-04-01,61
2013-05-01,64
2013-06-01,75
2013-07-01,64
2013-08-01,61
2013-09-01,69
2013-10-01,57
2013-11-01,49
2013-12-01,55
2014-01-01,64
2014-02-01,59
2014-03-01,61
2014-04-01,60
2014-05-01,58
2014-06-01,64
2014-07-01,59
2014-08-01,60
2014-09-01,64
2014-10-01,62
2014-11-01,58
2014-12-01,66
2015-01-01,64
2015-02-01,63
2015-03-01,57
2015-04-01,53
2015-05-01,55
2015-06-01,60
2015-07-01,70
2015-08-01,63
2015-09-01,63
2015-10-01,58
2015-11-01,61
2015-12-01,69
2016-01-01,71
2016-02-01,66
2016-03-01,75
2016-04-01,76
2016-05-01,72
2016-06-01,79
2016-07-01,88
2016-08-01,87
2016-09-01,90
2016-10-01,83
2016-11-01,97
2016-12-01,94
2017-01-01,95
