date,Gmail encryption,gmail privacy issues
2011-01-01,42,4
2011-02-01,40,5
2011-03-01,41,3
2011-04-01,43,6
2011-05-01,42,5
2011-06-01,46,3
2011-07-01,48,3
2011-08-01,43,3
2011-09-01,43,5
2011-10-01,43,4
2011-11-01,43,2
2011-12-01,41,2
2012-01-01,38,6
2012-02-01,47,5
2012-03-01,42,3
2012-04-01,46,3
2012-05-01,44,2
2012-06-01,36,3
2012-07-01,42,3
2012-08-01,46,2
2012-09-01,38,4
2012-10-01,37,1
2012-11-01,41,2
2012-12-01,39,4
2013-01-01,44,3
2013-02-01,48,3
2013-03-01,53,3
2013-04-01,51,3
2013-05-01,46,3
2013-06-01,83,4
2013-07-01,65,3
2013-08-01,64,5
2013-09-01,51,3
2013-10-01,59,4
2013-11-01,59,3
2013-12-01,42,3
2014-01-01,51,3
2014-02-01,52,2
2014-03-01,70,2
2014-04-01,63,3
2014-05-01,46,3
2014-06-01,80,3
2014-07-01,56,2
2014-08-01,60,1
2014-09-01,59,2
2014-10-01,59,1
2014-11-01,48,3
2014-12-01,64,2
2015-01-01,58,1
2015-02-01,62,3
2015-03-01,69,1
2015-04-01,60,2
2015-05-01,53,2
2015-06-01,55,2
2015-07-01,52,2
2015-08-01,48,2
2015-09-01,62,2
2015-10-01,63,2
2015-11-01,56,3
2015-12-01,54,1
2016-01-01,64,2
2016-02-01,90,3
2016-03-01,92,2
2016-04-01,100,2
2016-05-01,58,1
2016-06-01,65,1
2016-07-01,58,2
2016-08-01,74,2
2016-09-01,50,3
2016-10-01,59,1
2016-11-01,69,3
2016-12-01,53,1
2017-01-01,69,2
