date,I want to delete my google account,how to delete a google account
2011-01-01,1,25
2011-02-01,2,26
2011-03-01,1,33
2011-04-01,1,26
2011-05-01,2,36
2011-06-01,2,43
2011-07-01,4,58
2011-08-01,2,46
2011-09-01,2,50
2011-10-01,2,53
2011-11-01,2,47
2011-12-01,3,55
2012-01-01,3,52
2012-02-01,2,44
2012-03-01,2,45
2012-04-01,1,49
2012-05-01,3,46
2012-06-01,2,47
2012-07-01,3,55
2012-08-01,1,65
2012-09-01,2,49
2012-10-01,3,43
2012-11-01,3,48
2012-12-01,2,54
2013-01-01,3,58
2013-02-01,3,58
2013-03-01,2,57
2013-04-01,3,62
2013-05-01,4,64
2013-06-01,4,72
2013-07-01,3,75
2013-08-01,4,82
2013-09-01,4,68
2013-10-01,3,75
2013-11-01,2,73
2013-12-01,4,83
2014-01-01,5,92
2014-02-01,4,86
2014-03-01,4,82
2014-04-01,4,82
2014-05-01,4,83
2014-06-01,5,77
2014-07-01,3,91
2014-08-01,4,92
2014-09-01,3,81
2014-10-01,3,78
2014-11-01,3,77
2014-12-01,4,74
2015-01-01,5,74
2015-02-01,2,67
2015-03-01,3,73
2015-04-01,4,71
2015-05-01,5,71
2015-06-01,3,76
2015-07-01,4,84
2015-08-01,5,88
2015-09-01,5,77
2015-10-01,3,75
2015-11-01,3,75
2015-12-01,4,76
2016-01-01,5,85
2016-02-01,3,83
2016-03-01,5,72
2016-04-01,5,71
2016-05-01,4,76
2016-06-01,4,80
2016-07-01,5,100
2016-08-01,5,100
2016-09-01,5,79
2016-10-01,4,85
2016-11-01,3,75
2016-12-01,4,94
2017-01-01,4,92
