date,how do i delete a google account,how to delete a google account
2011-01-01,5,34
2011-02-01,5,29
2011-03-01,4,32
2011-04-01,6,32
2011-05-01,5,34
2011-06-01,10,44
2011-07-01,10,59
2011-08-01,9,54
2011-09-01,9,58
2011-10-01,10,51
2011-11-01,6,53
2011-12-01,6,50
2012-01-01,14,54
2012-02-01,7,41
2012-03-01,9,38
2012-04-01,9,47
2012-05-01,6,44
2012-06-01,10,53
2012-07-01,11,51
2012-08-01,10,65
2012-09-01,9,54
2012-10-01,8,46
2012-11-01,9,44
2012-12-01,7,60
2013-01-01,10,56
2013-02-01,10,55
2013-03-01,10,57
2013-04-01,11,57
2013-05-01,10,69
2013-06-01,9,66
2013-07-01,14,72
2013-08-01,14,79
2013-09-01,13,66
2013-10-01,12,76
2013-11-01,14,72
2013-12-01,15,80
2014-01-01,20,99
2014-02-01,16,88
2014-03-01,14,85
2014-04-01,14,76
2014-05-01,15,85
2014-06-01,11,73
2014-07-01,13,93
2014-08-01,13,82
2014-09-01,16,82
2014-10-01,16,77
2014-11-01,10,82
2014-12-01,11,77
2015-01-01,14,79
2015-02-01,10,70
2015-03-01,11,78
2015-04-01,9,68
2015-05-01,11,80
2015-06-01,12,80
2015-07-01,13,87
2015-08-01,11,87
2015-09-01,12,78
2015-10-01,13,76
2015-11-01,12,67
2015-12-01,13,79
2016-01-01,15,89
2016-02-01,11,76
2016-03-01,8,72
2016-04-01,13,75
2016-05-01,12,75
2016-06-01,13,85
2016-07-01,14,100
2016-08-01,15,96
2016-09-01,13,89
2016-10-01,11,83
2016-11-01,15,79
2016-12-01,14,96
2017-01-01,16,92
