date,Delete my google account,how to delete a google account
2011-01-01,24,21
2011-02-01,24,21
2011-03-01,29,28
2011-04-01,26,22
2011-05-01,35,30
2011-06-01,40,35
2011-07-01,56,48
2011-08-01,40,38
2011-09-01,56,41
2011-10-01,50,44
2011-11-01,47,39
2011-12-01,52,46
2012-01-01,56,43
2012-02-01,46,37
2012-03-01,48,38
2012-04-01,44,41
2012-05-01,43,38
2012-06-01,48,39
2012-07-01,52,45
2012-08-01,52,54
2012-09-01,50,41
2012-10-01,50,35
2012-11-01,49,40
2012-12-01,59,45
2013-01-01,55,48
2013-02-01,58,48
2013-03-01,57,47
2013-04-01,58,51
2013-05-01,58,53
2013-06-01,64,60
2013-07-01,64,62
2013-08-01,74,68
2013-09-01,67,56
2013-10-01,69,62
2013-11-01,73,61
2013-12-01,86,69
2014-01-01,86,76
2014-02-01,76,72
2014-03-01,80,68
2014-04-01,74,68
2014-05-01,72,69
2014-06-01,72,64
2014-07-01,78,75
2014-08-01,82,76
2014-09-01,77,67
2014-10-01,70,65
2014-11-01,71,64
2014-12-01,68,62
2015-01-01,74,61
2015-02-01,64,56
2015-03-01,68,61
2015-04-01,71,59
2015-05-01,65,59
2015-06-01,81,63
2015-07-01,81,70
2015-08-01,85,73
2015-09-01,82,64
2015-10-01,70,62
2015-11-01,75,62
2015-12-01,76,63
2016-01-01,86,70
2016-02-01,71,69
2016-03-01,74,60
2016-04-01,81,59
2016-05-01,78,63
2016-06-01,80,66
2016-07-01,100,83
2016-08-01,88,83
2016-09-01,89,65
2016-10-01,85,71
2016-11-01,86,62
2016-12-01,92,78
2017-01-01,99,77
