date,how to delete my google account,how to delete a google account
2011-01-01,11,28
2011-02-01,14,22
2011-03-01,13,27
2011-04-01,13,28
2011-05-01,22,41
2011-06-01,21,39
2011-07-01,27,55
2011-08-01,22,47
2011-09-01,26,56
2011-10-01,25,48
2011-11-01,24,46
2011-12-01,25,50
2012-01-01,32,52
2012-02-01,27,43
2012-03-01,31,39
2012-04-01,27,45
2012-05-01,29,40
2012-06-01,30,45
2012-07-01,31,46
2012-08-01,30,60
2012-09-01,31,53
2012-10-01,30,43
2012-11-01,23,43
2012-12-01,31,54
2013-01-01,32,50
2013-02-01,36,56
2013-03-01,34,62
2013-04-01,33,53
2013-05-01,39,60
2013-06-01,34,66
2013-07-01,36,67
2013-08-01,45,75
2013-09-01,37,61
2013-10-01,38,70
2013-11-01,43,76
2013-12-01,47,74
2014-01-01,52,85
2014-02-01,46,78
2014-03-01,51,84
2014-04-01,40,72
2014-05-01,38,73
2014-06-01,40,72
2014-07-01,49,85
2014-08-01,46,85
2014-09-01,46,75
2014-10-01,42,78
2014-11-01,40,72
2014-12-01,43,77
2015-01-01,39,71
2015-02-01,44,68
2015-03-01,36,66
2015-04-01,40,72
2015-05-01,41,68
2015-06-01,43,70
2015-07-01,45,84
2015-08-01,45,78
2015-09-01,46,71
2015-10-01,45,72
2015-11-01,42,69
2015-12-01,43,75
2016-01-01,54,84
2016-02-01,45,70
2016-03-01,48,73
2016-04-01,44,65
2016-05-01,46,74
2016-06-01,46,74
2016-07-01,62,100
2016-08-01,55,88
2016-09-01,50,78
2016-10-01,50,86
2016-11-01,50,73
2016-12-01,58,86
2017-01-01,55,87
