date,deleting google account,how to delete a google account
2011-01-01,14,25
2011-02-01,14,26
2011-03-01,16,33
2011-04-01,15,26
2011-05-01,18,36
2011-06-01,17,43
2011-07-01,27,58
2011-08-01,28,46
2011-09-01,26,50
2011-10-01,21,53
2011-11-01,19,47
2011-12-01,17,55
2012-01-01,24,52
2012-02-01,25,44
2012-03-01,19,45
2012-04-01,19,49
2012-05-01,14,46
2012-06-01,22,47
2012-07-01,21,55
2012-08-01,21,65
2012-09-01,18,49
2012-10-01,18,43
2012-11-01,17,48
2012-12-01,22,54
2013-01-01,20,58
2013-02-01,22,58
2013-03-01,20,57
2013-04-01,22,62
2013-05-01,19,64
2013-06-01,21,72
2013-07-01,19,75
2013-08-01,24,82
2013-09-01,23,68
2013-10-01,27,75
2013-11-01,26,73
2013-12-01,24,83
2014-01-01,30,92
2014-02-01,26,86
2014-03-01,24,82
2014-04-01,27,82
2014-05-01,29,83
2014-06-01,28,77
2014-07-01,30,91
2014-08-01,28,92
2014-09-01,28,81
2014-10-01,27,78
2014-11-01,22,77
2014-12-01,26,74
2015-01-01,24,74
2015-02-01,22,67
2015-03-01,21,73
2015-04-01,22,71
2015-05-01,24,71
2015-06-01,22,76
2015-07-01,27,84
2015-08-01,26,88
2015-09-01,22,77
2015-10-01,25,75
2015-11-01,23,75
2015-12-01,20,76
2016-01-01,21,85
2016-02-01,22,83
2016-03-01,21,72
2016-04-01,20,71
2016-05-01,20,76
2016-06-01,21,80
2016-07-01,26,100
2016-08-01,23,100
2016-09-01,23,79
2016-10-01,17,85
2016-11-01,20,75
2016-12-01,23,94
2017-01-01,21,92
