date,How to delete my gmail,how to delete a google account
2011-01-01,29,24
2011-02-01,35,25
2011-03-01,37,32
2011-04-01,48,25
2011-05-01,38,35
2011-06-01,42,41
2011-07-01,57,57
2011-08-01,49,45
2011-09-01,51,48
2011-10-01,47,51
2011-11-01,56,46
2011-12-01,60,54
2012-01-01,56,50
2012-02-01,48,43
2012-03-01,51,44
2012-04-01,48,48
2012-05-01,51,45
2012-06-01,51,46
2012-07-01,57,53
2012-08-01,62,63
2012-09-01,61,48
2012-10-01,55,41
2012-11-01,59,46
2012-12-01,63,53
2013-01-01,68,56
2013-02-01,60,56
2013-03-01,68,55
2013-04-01,67,60
2013-05-01,63,62
2013-06-01,69,70
2013-07-01,72,73
2013-08-01,80,79
2013-09-01,73,66
2013-10-01,78,73
2013-11-01,72,71
2013-12-01,91,80
2014-01-01,96,89
2014-02-01,86,84
2014-03-01,93,80
2014-04-01,83,79
2014-05-01,73,81
2014-06-01,68,75
2014-07-01,91,88
2014-08-01,94,89
2014-09-01,81,78
2014-10-01,79,76
2014-11-01,83,75
2014-12-01,79,72
2015-01-01,75,71
2015-02-01,76,65
2015-03-01,74,71
2015-04-01,73,69
2015-05-01,71,69
2015-06-01,76,74
2015-07-01,84,82
2015-08-01,82,85
2015-09-01,85,75
2015-10-01,82,72
2015-11-01,76,72
2015-12-01,75,73
2016-01-01,86,82
2016-02-01,80,81
2016-03-01,77,70
2016-04-01,77,69
2016-05-01,76,74
2016-06-01,80,78
2016-07-01,91,97
2016-08-01,88,97
2016-09-01,92,77
2016-10-01,85,83
2016-11-01,90,72
2016-12-01,91,91
2017-01-01,100,90
