date,how to delete google account,how to delete a google account
2011-01-01,27,7
2011-02-01,25,7
2011-03-01,27,9
2011-04-01,26,7
2011-05-01,31,9
2011-06-01,34,11
2011-07-01,51,15
2011-08-01,42,12
2011-09-01,53,13
2011-10-01,50,14
2011-11-01,45,12
2011-12-01,50,15
2012-01-01,51,14
2012-02-01,45,12
2012-03-01,42,12
2012-04-01,41,13
2012-05-01,40,12
2012-06-01,43,12
2012-07-01,50,14
2012-08-01,48,17
2012-09-01,46,13
2012-10-01,45,11
2012-11-01,46,13
2012-12-01,51,14
2013-01-01,51,15
2013-02-01,56,15
2013-03-01,54,15
2013-04-01,52,16
2013-05-01,62,17
2013-06-01,64,19
2013-07-01,65,20
2013-08-01,71,22
2013-09-01,65,18
2013-10-01,65,20
2013-11-01,67,19
2013-12-01,74,22
2014-01-01,82,24
2014-02-01,74,23
2014-03-01,72,22
2014-04-01,72,22
2014-05-01,72,22
2014-06-01,74,20
2014-07-01,82,24
2014-08-01,80,24
2014-09-01,77,21
2014-10-01,75,21
2014-11-01,71,20
2014-12-01,76,20
2015-01-01,74,19
2015-02-01,67,18
2015-03-01,69,19
2015-04-01,70,19
2015-05-01,68,19
2015-06-01,73,20
2015-07-01,77,22
2015-08-01,82,23
2015-09-01,73,20
2015-10-01,70,20
2015-11-01,69,20
2015-12-01,73,20
2016-01-01,80,22
2016-02-01,73,22
2016-03-01,73,19
2016-04-01,70,19
2016-05-01,71,20
2016-06-01,76,21
2016-07-01,100,26
2016-08-01,89,26
2016-09-01,84,21
2016-10-01,84,22
2016-11-01,82,20
2016-12-01,90,25
2017-01-01,90,24
