date,Facebook Privacy settings
2011-01-01,51
2011-02-01,42
2011-03-01,40
2011-04-01,43
2011-05-01,41
2011-06-01,48
2011-07-01,43
2011-08-01,63
2011-09-01,100
2011-10-01,75
2011-11-01,68
2011-12-01,63
2012-01-01,66
2012-02-01,59
2012-03-01,48
2012-04-01,58
2012-05-01,57
2012-06-01,52
2012-07-01,51
2012-08-01,64
2012-09-01,96
2012-10-01,89
2012-11-01,78
2012-12-01,77
2013-01-01,73
2013-02-01,78
2013-03-01,85
2013-04-01,57
2013-05-01,57
2013-06-01,54
2013-07-01,70
2013-08-01,57
2013-09-01,57
2013-10-01,79
2013-11-01,48
2013-12-01,42
2014-01-01,41
2014-02-01,41
2014-03-01,40
2014-04-01,39
2014-05-01,41
2014-06-01,39
2014-07-01,37
2014-08-01,44
2014-09-01,40
2014-10-01,39
2014-11-01,36
2014-12-01,39
2015-01-01,43
2015-02-01,32
2015-03-01,34
2015-04-01,33
2015-05-01,33
2015-06-01,31
2015-07-01,32
2015-08-01,33
2015-09-01,53
2015-10-01,32
2015-11-01,31
2015-12-01,27
2016-01-01,28
2016-02-01,27
2016-03-01,26
2016-04-01,27
2016-05-01,26
2016-06-01,36
2016-07-01,30
2016-08-01,26
2016-09-01,30
2016-10-01,29
2016-11-01,25
2016-12-01,26
2017-01-01,28
