date,hangouts encryption,google hangouts privacy
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,23
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,20
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,18
2012-02-01,19,0
2012-03-01,18,0
2012-04-01,0,19
2012-05-01,0,18
2012-06-01,0,28
2012-07-01,0,0
2012-08-01,18,18
2012-09-01,0,0
2012-10-01,0,32
2012-11-01,0,0
2012-12-01,16,16
2013-01-01,0,15
2013-02-01,0,16
2013-03-01,0,15
2013-04-01,0,15
2013-05-01,14,43
2013-06-01,29,44
2013-07-01,29,44
2013-08-01,29,43
2013-09-01,21,14
2013-10-01,20,13
2013-11-01,48,34
2013-12-01,14,41
2014-01-01,25,70
2014-02-01,63,49
2014-03-01,25,100
2014-04-01,13,58
2014-05-01,26,46
2014-06-01,0,29
2014-07-01,21,35
2014-08-01,14,42
2014-09-01,27,34
2014-10-01,52,19
2014-11-01,46,26
2014-12-01,26,46
2015-01-01,36,61
2015-02-01,39,33
2015-03-01,48,36
2015-04-01,55,62
2015-05-01,36,36
2015-06-01,61,55
2015-07-01,42,24
2015-08-01,53,36
2015-09-01,46,41
2015-10-01,28,50
2015-11-01,23,34
2015-12-01,52,23
2016-01-01,43,33
2016-02-01,70,65
2016-03-01,45,56
2016-04-01,78,26
2016-05-01,76,20
2016-06-01,63,21
2016-07-01,79,32
2016-08-01,67,36
2016-09-01,66,67
2016-10-01,53,34
2016-11-01,59,44
2016-12-01,39,29
2017-01-01,46,23
