date,how to join a google hangout,google hangouts privacy
2011-01-01,0,13
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,20,13
2011-08-01,12,11
2011-09-01,12,11
2011-10-01,17,11
2011-11-01,23,11
2011-12-01,11,14
2012-01-01,21,16
2012-02-01,11,18
2012-03-01,10,20
2012-04-01,10,10
2012-05-01,10,10
2012-06-01,10,10
2012-07-01,17,10
2012-08-01,27,10
2012-09-01,69,12
2012-10-01,48,13
2012-11-01,21,9
2012-12-01,57,9
2013-01-01,44,8
2013-02-01,100,14
2013-03-01,59,8
2013-04-01,50,16
2013-05-01,64,32
2013-06-01,41,21
2013-07-01,59,19
2013-08-01,48,27
2013-09-01,42,8
2013-10-01,60,11
2013-11-01,56,23
2013-12-01,49,33
2014-01-01,52,24
2014-02-01,41,26
2014-03-01,44,31
2014-04-01,65,41
2014-05-01,49,17
2014-06-01,43,22
2014-07-01,66,18
2014-08-01,61,32
2014-09-01,55,25
2014-10-01,62,32
2014-11-01,39,15
2014-12-01,29,31
2015-01-01,45,34
2015-02-01,63,29
2015-03-01,33,16
2015-04-01,34,48
2015-05-01,49,24
2015-06-01,48,16
2015-07-01,27,30
2015-08-01,38,13
2015-09-01,43,16
2015-10-01,39,25
2015-11-01,32,16
2015-12-01,32,19
2016-01-01,40,18
2016-02-01,40,14
2016-03-01,34,24
2016-04-01,21,10
2016-05-01,47,6
2016-06-01,37,20
2016-07-01,37,30
2016-08-01,46,27
2016-09-01,32,15
2016-10-01,18,20
2016-11-01,24,27
2016-12-01,24,16
2017-01-01,33,14
