date,schedule a google hangout,google hangouts privacy
2011-01-01,0,11
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,11,11
2011-08-01,10,10
2011-09-01,10,10
2011-10-01,10,10
2011-11-01,10,10
2011-12-01,19,11
2012-01-01,18,13
2012-02-01,18,15
2012-03-01,11,17
2012-04-01,11,9
2012-05-01,11,9
2012-06-01,9,9
2012-07-01,34,8
2012-08-01,17,8
2012-09-01,33,10
2012-10-01,23,11
2012-11-01,19,8
2012-12-01,23,8
2013-01-01,37,7
2013-02-01,49,12
2013-03-01,61,7
2013-04-01,70,14
2013-05-01,81,27
2013-06-01,62,17
2013-07-01,77,16
2013-08-01,59,23
2013-09-01,80,7
2013-10-01,59,9
2013-11-01,60,19
2013-12-01,54,28
2014-01-01,66,20
2014-02-01,74,22
2014-03-01,55,27
2014-04-01,77,35
2014-05-01,49,14
2014-06-01,43,18
2014-07-01,71,16
2014-08-01,87,27
2014-09-01,59,21
2014-10-01,67,27
2014-11-01,58,12
2014-12-01,55,26
2015-01-01,67,29
2015-02-01,72,25
2015-03-01,45,13
2015-04-01,86,40
2015-05-01,54,21
2015-06-01,61,13
2015-07-01,62,26
2015-08-01,62,11
2015-09-01,45,14
2015-10-01,77,21
2015-11-01,55,13
2015-12-01,51,16
2016-01-01,83,15
2016-02-01,100,12
2016-03-01,68,21
2016-04-01,89,8
2016-05-01,94,5
2016-06-01,99,16
2016-07-01,63,25
2016-08-01,59,23
2016-09-01,63,13
2016-10-01,52,17
2016-11-01,66,23
2016-12-01,46,14
2017-01-01,60,12
